比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1994总决赛G3：火箭93-89尼克斯,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1994年06月12日 June 12,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：纽约尼克斯/客队：休士顿火箭,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Jess Kersey, Bill Oakes, Jake O'Donnell",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
火箭全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
哈基姆-奥拉朱旺,44:00,8,20,.400,0,0,0,5,6,.833,5,6,11,7,1,7,4,3,21,
罗伯特-霍里,43:00,5,11,.455,1,5,.200,5,6,.833,2,6,8,4,1,0,4,3,16,
奥蒂斯-索普,40:00,3,5,.600,0,0,0,3,3,1.0,3,6,9,2,0,0,0,4,9,
弗农-马克斯韦尔,35:00,5,15,.333,0,6,.0,2,2,1.0,0,6,6,4,0,0,3,1,12,
肯尼-史密斯,25:00,3,7,.429,1,2,.500,3,3,1.0,1,3,4,0,1,0,3,0,10,
萨姆-卡塞尔,22:00,4,6,.667,3,3,1.0,4,5,.800,1,4,5,1,0,0,1,4,15,
卡尔-埃雷拉,16:00,1,8,.125,0,0,0,2,2,1.0,2,2,4,0,0,0,1,1,4,
马里奥-艾利,15:00,1,3,.333,1,1,1.0,3,4,.750,0,0,0,1,1,0,1,2,6,
,,,,,,,,,,,,,,,,,,,,
尼克斯全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
帕特里克-尤因,46:00,9,29,.310,0,2,.0,0,0,0,6,7,13,0,1,7,3,3,18,
约翰-斯塔克斯,43:00,6,16,.375,3,9,.333,5,7,.714,0,2,2,9,1,0,0,5,20,
查尔斯-奥克利,40:00,3,8,.375,0,0,0,1,2,.500,6,4,10,1,1,1,1,5,7,
德里克-哈珀,39:00,9,15,.600,3,7,.429,0,0,0,2,5,7,3,4,0,3,4,21,
查尔斯-史密斯,24:00,3,5,.600,0,0,0,3,4,.750,2,2,4,2,0,0,2,4,9,
安东尼-梅森,28:00,3,7,.429,0,0,0,4,5,.800,2,3,5,1,1,0,2,3,10,
格雷格-安东尼,9:00,1,5,.200,0,1,.0,0,0,0,0,0,0,1,0,0,0,1,2,
休波特-戴维斯,6:00,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
安东尼-邦纳,5:00,1,1,1.0,0,0,0,0,1,.0,0,1,1,0,0,0,0,0,2,
