比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1991总决赛G5：公牛108-101湖人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1991年06月12日 June 12,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：洛杉矶湖人/客队：芝加哥公牛,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Jack Madden, Mike Mathis, Jake O'Donnell",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
斯科蒂-皮蓬,48:00,10,22,.455,1,2,.500,11,12,.917,4,9,13,7,5,1,7,3,32,
迈克尔-乔丹,48:00,12,23,.522,0,0,0,6,8,.750,0,4,4,10,5,2,6,1,30,
霍雷斯-格兰特,40:00,4,5,.800,0,0,0,3,6,.500,2,4,6,0,1,2,2,2,11,
约翰-帕克森,33:00,9,12,.750,0,0,0,2,2,1.0,0,3,3,4,1,0,1,3,20,
比尔-卡特赖特,33:00,4,11,.364,0,0,0,0,0,0,3,5,8,7,1,0,0,5,8,
B.J. Armstrong,8:00,1,2,.500,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,
克里夫-莱温斯顿,8:00,0,1,.0,0,0,0,0,0,0,1,1,2,0,0,0,0,4,0,
斯格特-威廉姆斯,8:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,
克雷格-霍奇思,7:00,2,2,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,5,
维尔-佩尔多,7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
魔术师约翰逊,48:00,4,12,.333,2,6,.333,6,6,1.0,4,7,11,20,1,0,6,0,16,
A.C. Green,43:00,6,12,.500,0,0,0,1,2,.500,1,6,7,1,2,0,2,3,13,
萨姆-帕金斯,37:00,5,12,.417,1,4,.250,11,13,.846,3,6,9,3,0,2,1,4,22,
弗拉德-迪瓦茨,37:00,4,12,.333,0,1,.0,0,0,0,3,4,7,3,0,4,5,2,8,
特里-蒂格,18:00,4,8,.500,0,0,0,1,2,.500,0,0,0,0,0,0,3,4,9,
托尼-史密斯,30:00,5,6,.833,0,0,0,2,3,.667,0,0,0,2,1,0,4,6,12,
埃尔登-坎贝尔,27:00,9,12,.750,0,0,0,3,4,.750,1,1,2,0,2,1,1,3,21,
