比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1991总决赛G4：公牛97-82湖人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1991年06月9日 June 9,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：洛杉矶湖人/客队：芝加哥公牛,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, Hugh Evans, Ed T. Rush",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
迈克尔-乔丹,44:00,11,20,.550,0,1,.0,6,6,1.0,1,4,5,13,0,2,1,3,28,
斯科蒂-皮蓬,40:00,6,12,.500,0,0,0,2,2,1.0,4,5,9,6,1,2,2,4,14,
霍雷斯-格兰特,36:00,6,14,.429,0,0,0,2,2,1.0,1,6,7,3,2,1,0,3,14,
比尔-卡特赖特,36:00,5,10,.500,0,0,0,2,4,.500,1,4,5,1,0,2,0,1,12,
约翰-帕克森,35:00,7,11,.636,1,2,.500,0,0,0,1,2,3,2,1,0,1,1,15,
克里夫-莱温斯顿,20:00,2,3,.667,0,0,0,0,0,0,1,4,5,0,0,1,0,3,4,
克雷格-霍奇思,14:00,3,7,.429,0,0,0,0,0,0,0,1,1,1,0,0,1,3,6,
斯格特-威廉姆斯,11:00,1,2,.500,0,0,0,0,0,0,0,3,3,1,0,0,0,4,2,
B.J. Armstrong,3:00,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
维尔-佩尔多,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
弗拉德-迪瓦茨,45:00,12,20,.600,0,0,0,3,3,1.0,6,5,11,1,1,3,2,4,27,
魔术师约翰逊,44:00,6,13,.462,0,2,.0,10,10,1.0,1,5,6,11,0,0,2,4,22,
萨姆-帕金斯,43:00,1,15,.067,0,3,.0,1,2,.500,5,5,10,0,0,0,0,5,3,
拜伦-斯科特,34:00,2,4,.500,0,0,0,0,0,0,0,4,4,0,1,0,2,5,4,
詹姆斯-沃西,31:00,6,16,.375,0,0,0,0,1,.0,1,2,3,2,0,0,0,2,12,
特里-蒂格,18:00,1,6,.167,0,0,0,4,4,1.0,0,0,0,0,2,0,0,1,6,
A.C. Green,17:00,1,5,.200,0,0,0,3,4,.750,4,3,7,0,0,0,2,1,5,
拉里-德鲁,6:00,1,2,.500,0,0,0,1,2,.500,0,0,0,0,0,0,0,1,3,
托尼-史密斯,2:00,0,1,.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
