比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1992总决赛G5：公牛119-106开拓者,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1992年06月12日 June 12,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波特兰开拓者/客队：芝加哥公牛,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Hue Hollins, Jess Kersey, Jake O'Donnell",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
斯科蒂-皮蓬,45:00,8,15,.533,0,1,.0,8,9,.889,3,8,11,9,2,0,3,4,24,
迈克尔-乔丹,42:00,14,23,.609,2,4,.500,16,19,.842,0,5,5,4,0,1,4,5,46,
约翰-帕克森,33:00,6,11,.545,0,1,.0,0,0,0,0,1,1,3,2,0,1,2,12,
霍雷斯-格兰特,33:00,2,4,.500,0,0,0,2,5,.400,0,5,5,3,1,4,3,6,6,
比尔-卡特赖特,19:00,2,4,.500,0,0,0,0,0,0,1,2,3,3,1,0,2,4,4,
斯格特-威廉姆斯,23:00,2,4,.500,0,0,0,3,4,.750,3,1,4,3,0,0,0,5,7,
B.J. Armstrong,17:00,2,4,.500,0,0,0,4,4,1.0,0,0,0,0,0,0,1,1,8,
克里夫-莱温斯顿,13:00,2,3,.667,0,0,0,2,2,1.0,2,1,3,1,0,1,0,1,6,
斯塔塞-金,8:00,1,4,.250,0,0,0,2,2,1.0,0,1,1,0,0,0,0,4,4,
鲍伯-汉森,5:00,1,1,1.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,
克雷格-霍奇思,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
维尔-佩尔多,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
开拓者全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
特里-波特,46:00,5,12,.417,0,0,0,7,8,.875,1,1,2,8,3,1,3,3,17,
克莱德-德雷克斯勒,41:00,9,21,.429,0,3,.0,12,14,.857,5,5,10,3,0,1,4,6,30,
杰罗姆-克西,36:00,7,17,.412,0,0,0,0,0,0,8,4,12,3,2,0,6,5,14,
巴克-威廉姆斯,31:00,3,6,.500,0,0,0,0,0,0,3,4,7,0,0,1,1,3,6,
凯文-达克沃斯,28:00,3,6,.500,0,0,0,7,11,.636,2,5,7,0,0,0,3,5,13,
丹尼-安吉,28:00,5,13,.385,1,4,.250,3,4,.750,0,3,3,3,0,0,1,5,14,
克利弗德-罗宾逊,26:00,3,4,.750,0,0,0,5,5,1.0,1,3,4,4,0,0,0,6,11,
罗波特-派克,3:00,0,1,.0,0,0,0,1,2,.500,0,0,0,0,0,0,0,1,1,
埃尼斯-威特利,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
