比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2018总决赛G2：骑士103-122勇士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2018年06月3日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：金州勇士/客队：克里夫兰骑士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Mike Callahan, David Guthrie, Derrick Stafford",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：肯德里克-帕金斯,奥卡罗-怀特",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：安德烈-伊格达拉,达米安-琼斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,43:51,10,20,.500,2,4,.500,7,9,.778,1,8,9,13,2,0,5,2,29,-18
凯文-乐福,34:54,7,18,.389,3,8,.375,5,5,1.0,4,6,10,1,2,1,1,1,22,-12
乔治-希尔,33:55,5,12,.417,3,6,.500,2,2,1.0,2,0,2,3,2,1,1,5,15,-11
J.兰迪-史密斯,31:07,2,9,.222,1,4,.250,0,1,.0,0,1,1,2,2,0,1,0,5,-9
特里斯坦-汤普森,23:19,5,8,.625,0,0,0,1,2,.500,3,2,5,0,0,0,0,2,11,-1
杰夫-格林,19:47,2,7,.286,0,2,.0,2,2,1.0,0,2,2,1,0,0,0,0,6,-11
凯尔-科沃尔,17:21,0,3,.0,0,1,.0,1,1,1.0,2,0,2,1,0,1,0,2,1,-18
小拉里-南斯.,12:22,0,1,.0,0,0,0,2,4,.500,3,3,6,1,0,1,1,0,2,-13
乔丹-克拉克森,8:04,1,4,.250,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,-4
切迪-奥斯曼,4:17,1,2,.500,0,1,.0,0,0,0,0,1,1,0,0,0,0,0,2,-1
罗德尼-胡德,4:09,1,2,.500,0,1,.0,0,0,0,0,1,1,1,0,0,0,0,2,-1
何塞-卡尔德隆,3:27,2,3,.667,0,0,0,0,0,0,1,1,2,1,0,0,0,0,4,+2
安特-日日奇,3:27,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,+2
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德雷蒙德-格林,39:21,2,4,.500,0,2,.0,1,2,.500,2,6,8,7,0,1,0,5,5,+19
凯文-杜兰特,38:10,10,14,.714,2,3,.667,4,4,1.0,0,9,9,7,0,2,3,3,26,+24
斯蒂芬-库里,37:53,11,26,.423,9,17,.529,2,2,1.0,1,6,7,8,1,0,5,3,33,+19
克莱-汤普森,33:42,8,13,.615,3,8,.375,1,2,.500,0,2,2,1,1,0,2,3,20,+11
贾维尔-麦基,17:48,6,6,1.0,0,0,0,0,1,.0,1,1,2,0,0,1,0,4,12,0
肖恩-利文斯顿,15:18,5,5,1.0,0,0,0,0,0,0,1,4,5,1,0,0,1,1,10,+8
尼克-杨,14:11,0,5,.0,0,4,.0,0,0,0,0,1,1,0,0,0,0,1,0,0
凯文-卢尼,11:28,0,0,0,0,0,0,0,4,.0,0,1,1,1,0,0,0,0,0,+6
大卫-韦斯特,10:56,1,1,1.0,1,1,1.0,0,0,0,1,2,3,2,0,3,1,2,3,+10
乔丹-贝尔,10:52,2,3,.667,0,0,0,1,2,.500,0,1,1,1,1,0,0,3,5,+4
扎扎-帕楚里亚,3:27,1,2,.500,0,0,0,4,4,1.0,1,1,2,0,0,1,0,0,6,-2
奎因-库克,3:27,1,3,.333,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,2,-2
帕特里克-麦考,3:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
