比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2022总决赛G3：勇士100-116凯尔特人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2022年06月8日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波士顿凯尔特人/客队：金州勇士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Scott Foster, David Guthrie, Courtney Kirkland",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：詹姆斯-怀斯曼,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
安德鲁-威金斯,40:22,7,16,.438,1,6,.167,3,4,.750,1,6,7,2,2,2,3,4,18,-16
克莱-汤普森,39:02,7,17,.412,5,13,.385,6,6,1.0,0,3,3,3,1,1,0,1,25,-3
斯蒂芬-库里,37:08,12,22,.545,6,11,.545,1,1,1.0,0,4,4,2,2,0,3,4,31,-14
德雷蒙德-格林,34:47,1,4,.250,0,2,.0,0,0,0,1,3,4,3,0,1,2,6,2,-13
凯文-卢尼,16:49,3,4,.750,0,0,0,0,0,0,3,4,7,3,0,0,3,3,6,-7
乔丹-普尔,24:28,4,8,.500,1,4,.250,1,2,.500,0,3,3,3,0,0,3,2,10,-6
奥托-波特.,21:07,2,3,.667,2,3,.667,0,0,0,1,0,1,4,1,0,1,1,6,+4
小加里-佩顿,11:25,0,2,.0,0,0,0,2,2,1.0,0,1,1,1,1,0,0,2,2,-13
内马尼亚-别利察,3:27,0,1,.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2
乔纳森-库明加,2:19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2
达米恩-李,2:19,0,1,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,-2
摩西-穆迪,2:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
托斯卡诺-安德森,2:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2
安德烈-伊格达拉,2:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
,,,,,,,,,,,,,,,,,,,,
凯尔特人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
杰森-塔图姆,41:18,9,23,.391,3,9,.333,5,6,.833,1,5,6,9,1,0,2,2,26,+13
杰伦-布朗,39:40,9,16,.563,4,8,.500,5,6,.833,3,6,9,5,0,1,2,2,27,+7
马库斯-斯马特,39:23,8,17,.471,3,7,.429,5,7,.714,2,5,7,5,0,0,5,3,24,+19
艾尔-霍福德,30:07,5,7,.714,1,2,.500,0,2,.0,3,5,8,6,1,1,0,3,11,+7
罗伯特-威廉姆斯,25:57,4,5,.800,0,0,0,0,0,0,3,7,10,0,3,4,0,3,8,+21
德里克-怀特,23:35,3,9,.333,0,3,.0,1,1,1.0,0,1,1,2,1,1,1,2,7,-12
格兰特-威廉姆斯,20:09,4,7,.571,1,4,.250,1,2,.500,3,2,5,0,1,0,1,2,10,+10
佩顿-普里查德,9:47,1,2,.500,1,1,1.0,0,0,0,0,0,0,1,0,0,1,0,3,+15
萨姆-豪瑟,2:02,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿龙-内史密斯,2:02,0,1,.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
马利克-菲茨,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
朱万-摩根,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尼克-斯陶斯卡斯,2:00,0,1,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,0
卢克-科内特,未上场,,,,,,,,,,,,,,,,,,,
丹尼尔-泰斯,未上场,,,,,,,,,,,,,,,,,,,
