比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2022总决赛G6：勇士103-90凯尔特人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G6,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2022年06月16日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波士顿凯尔特人/客队：金州勇士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：John Goble, David Guthrie, Zach Zarba",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：詹姆斯-怀斯曼,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
安德鲁-威金斯,43:41,7,18,.389,4,9,.444,0,0,0,3,3,6,5,4,3,3,0,18,+5
德雷蒙德-格林,41:49,5,10,.500,2,5,.400,0,0,0,4,8,12,8,2,2,5,1,12,+16
克莱-汤普森,41:19,5,20,.250,2,8,.250,0,0,0,0,5,5,2,2,0,3,3,12,+4
斯蒂芬-库里,39:56,12,21,.571,6,11,.545,4,4,1.0,0,7,7,7,2,1,2,4,34,+8
奥托-波特.,13:02,2,3,.667,2,3,.667,0,0,0,0,1,1,0,0,0,0,0,6,+3
凯文-卢尼,21:40,0,2,.0,0,0,0,0,0,0,6,1,7,1,0,0,1,4,0,0
小加里-佩顿,19:46,2,6,.333,0,2,.0,2,2,1.0,1,2,3,2,3,1,1,5,6,+18
乔丹-普尔,17:46,5,12,.417,3,8,.375,2,2,1.0,1,2,3,2,0,0,0,3,15,+11
安德烈-伊格达拉,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
内马尼亚-别利察,未上场,,,,,,,,,,,,,,,,,,,
乔纳森-库明加,未上场,,,,,,,,,,,,,,,,,,,
达米恩-李,未上场,,,,,,,,,,,,,,,,,,,
摩西-穆迪,未上场,,,,,,,,,,,,,,,,,,,
托斯卡诺-安德森,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
凯尔特人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
杰伦-布朗,44:00,12,23,.522,5,11,.455,5,6,.833,1,6,7,3,1,0,5,2,34,+1
杰森-塔图姆,40:13,6,18,.333,1,4,.250,0,0,0,0,3,3,7,3,1,5,3,13,-2
艾尔-霍福德,39:13,6,8,.750,4,5,.800,3,3,1.0,3,11,14,2,2,1,3,1,19,+2
马库斯-斯马特,38:29,4,12,.333,1,2,.500,0,0,0,1,5,6,9,2,0,3,5,9,+7
罗伯特-威廉姆斯,32:37,4,8,.500,0,0,0,2,2,1.0,5,2,7,2,0,5,2,2,10,-1
德里克-怀特,16:27,1,6,.167,0,2,.0,0,0,0,0,1,1,2,0,0,1,1,2,-26
格兰特-威廉姆斯,15:51,1,2,.500,0,1,.0,1,1,1.0,0,1,1,1,0,1,1,1,3,-18
佩顿-普里查德,7:57,0,2,.0,0,2,.0,0,0,0,1,0,1,1,0,0,1,0,0,-20
萨姆-豪瑟,1:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
卢克-科内特,1:03,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-2
阿龙-内史密斯,1:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
尼克-斯陶斯卡斯,1:03,0,1,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,-2
朱万-摩根,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马利克-菲茨,未上场,,,,,,,,,,,,,,,,,,,
丹尼尔-泰斯,未上场,,,,,,,,,,,,,,,,,,,
