比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2001总决赛G1：76人107-101湖人(1加时),,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2001年06月6日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：洛杉矶湖人/客队：费城76人,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, 乔-克劳福德, Ron Garretson",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
76人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
阿伦-艾弗森,52:57,18,41,.439,3,8,.375,9,9,1.0,2,3,5,6,5,0,3,0,48,+6
阿隆-麦基,50:57,3,7,.429,1,1,1.0,2,2,1.0,2,5,7,9,2,1,5,1,9,+6
迪肯贝-穆托姆博,43:56,4,7,.571,0,0,0,5,7,.714,5,11,16,0,0,5,0,5,13,+14
特伊隆-希尔,39:41,1,6,.167,0,0,0,2,2,1.0,1,5,6,0,0,1,3,3,4,-15
朱梅因-琼斯,11:31,2,3,.667,0,1,.0,0,0,0,0,0,0,0,0,1,0,1,4,0
埃里克-斯诺,31:23,5,10,.500,0,1,.0,3,3,1.0,0,4,4,5,0,0,5,2,13,+10
拉加-贝尔,19:13,2,2,1.0,0,0,0,2,2,1.0,1,3,4,1,2,0,1,2,6,+11
马特-盖革,13:34,5,7,.714,0,0,0,0,0,0,0,0,0,0,1,0,1,6,10,+4
托德-马克洛奇,1:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
凯文-奥利,0:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
罗德尼-布福德,未上场,,,,,,,,,,,,,,,,,,,
乔治-林奇,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科比-布莱恩特,52:05,7,22,.318,0,0,0,1,1,1.0,0,3,3,5,1,3,6,4,15,-6
Shaquille O'Neal,51:45,17,28,.607,0,0,0,10,22,.455,6,14,20,5,1,0,4,3,44,-6
里克-福克斯,44:14,7,12,.583,3,6,.500,2,2,1.0,1,6,7,5,2,1,4,3,19,+2
霍雷斯-格兰特,27:18,3,11,.273,0,0,0,2,2,1.0,4,1,5,0,1,2,2,1,8,0
德里克-费舍尔,22:24,0,4,.0,0,1,.0,0,0,0,0,0,0,1,1,0,0,3,0,-14
罗伯特-霍里,26:57,1,5,.200,1,3,.333,0,0,0,3,1,4,1,2,2,1,5,3,-6
泰伦-卢,22:23,2,3,.667,1,1,1.0,0,0,0,0,1,1,3,5,1,1,2,5,+9
布莱恩-肖,17:54,3,5,.600,1,2,.500,0,0,0,2,2,4,3,1,0,1,1,7,-9
格雷格-福斯特,未上场,,,,,,,,,,,,,,,,,,,
德文-乔治,未上场,,,,,,,,,,,,,,,,,,,
罗恩-哈珀,未上场,,,,,,,,,,,,,,,,,,,
马克-麦德森,未上场,,,,,,,,,,,,,,,,,,,
