比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1996总决赛G1：超音速90-107公牛,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1996年06月5日 June 5,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：芝加哥公牛/客队：超音速,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, 乔-克劳福德, Bennett Salvatore",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
超音速全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
加里-佩顿,47:00,6,17,.353,0,3,.0,1,4,.250,2,8,10,6,1,0,3,5,13,
肖恩-坎普,41:00,9,14,.643,0,0,0,14,16,.875,5,3,8,2,2,1,7,6,32,
德特勒夫-施伦普夫,35:00,3,8,.375,1,2,.500,6,6,1.0,3,5,8,3,1,0,2,4,13,
赫塞-霍金斯,35:00,2,9,.222,0,3,.0,5,5,1.0,0,3,3,1,0,0,1,2,9,
埃尔文-约翰逊,9:00,1,2,.500,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,
萨姆-帕金斯,37:00,5,14,.357,3,5,.600,1,1,1.0,4,1,5,2,1,0,3,3,14,
文森特-艾斯丘,25:00,1,4,.250,1,3,.333,2,2,1.0,0,6,6,1,0,0,1,4,5,
内特-麦克米兰,6:00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
大卫-温盖特,2:00,0,0,0,0,0,0,2,2,1.0,0,0,0,0,0,0,0,2,2,
弗兰克-布里克考斯基,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
埃里克-斯诺,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
斯科蒂-皮蓬,44:00,5,15,.333,3,8,.375,8,9,.889,5,2,7,3,3,3,0,3,21,
迈克尔-乔丹,41:00,9,18,.500,1,4,.250,9,10,.900,0,7,7,2,2,1,2,4,28,
丹尼斯-罗德曼,36:00,3,6,.500,0,0,0,1,2,.500,3,10,13,2,1,0,2,5,7,
罗恩-哈珀,30:00,6,10,.600,1,3,.333,2,2,1.0,3,2,5,7,2,1,1,4,15,
卢克-朗利,26:00,5,12,.417,0,0,0,4,5,.800,1,0,1,1,0,4,1,4,14,
托尼-库科奇,27:00,7,13,.538,2,5,.400,2,3,.667,3,1,4,4,1,0,0,3,18,
史蒂夫-科尔,12:00,0,5,.0,0,3,.0,0,0,0,0,0,0,0,0,0,0,0,0,
比尔-温宁顿,10:00,2,2,1.0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,4,
尤德-比希勒,9:00,0,4,.0,0,3,.0,0,0,0,0,0,0,1,0,0,1,2,0,
兰迪-布朗,3:00,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
约翰-萨利,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
