比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2014总决赛G5：热火87-104马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2014年06月15日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Marc Davis, Scott Foster, Ken Mauer",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：贾斯汀-汉密尔顿,格雷格-奥登",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：奥斯汀-达耶,达米恩-詹姆斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,41:16,10,21,.476,3,9,.333,8,9,.889,1,9,10,5,0,2,1,1,31,-16
克里斯-波什,38:37,6,14,.429,0,5,.0,1,2,.500,0,7,7,2,1,0,0,2,13,-20
德维恩-韦德,36:00,4,12,.333,1,2,.500,2,4,.500,0,3,3,1,0,0,3,3,11,-10
雷-阿伦,31:20,1,8,.125,1,3,.333,2,2,1.0,1,4,5,2,1,0,4,2,5,-18
拉沙德-刘易斯,9:00,1,2,.500,1,2,.500,0,0,0,0,2,2,1,0,0,0,2,3,+8
克里斯-安德森,17:58,0,1,.0,0,0,0,0,0,0,1,5,6,0,1,1,0,5,0,-11
迈克尔-比斯利,17:01,4,7,.571,0,0,0,1,3,.333,2,1,3,1,0,0,1,2,9,+4
马里奥-查默斯,14:51,2,3,.667,0,0,0,4,5,.800,0,1,1,0,1,0,0,1,8,+2
肖恩-巴蒂尔,10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,-5
犹多尼斯-哈斯勒姆,9:48,1,2,.500,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,-17
诺里斯-科尔,8:48,0,2,.0,0,1,.0,2,2,1.0,0,1,1,1,0,0,0,1,2,-4
詹姆斯-琼斯,2:12,0,1,.0,0,1,.0,0,0,0,0,1,1,0,0,0,0,0,0,0
托尼-道格拉斯,2:10,1,2,.500,1,2,.500,0,0,0,0,1,1,1,0,0,0,0,3,+2
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
伯瑞斯-迪奥,38:03,2,7,.286,1,3,.333,0,0,0,1,8,9,6,1,0,2,1,5,+14
托尼-帕克,36:06,7,18,.389,0,1,.0,2,2,1.0,0,1,1,2,0,0,0,2,16,+1
科怀-伦纳德,33:59,7,10,.700,3,4,.750,5,6,.833,2,8,10,2,1,1,3,6,22,+15
蒂姆-邓肯,33:24,5,10,.500,0,0,0,4,6,.667,2,6,8,2,0,2,0,3,14,+5
丹尼-格林,19:07,0,5,.0,0,3,.0,0,0,0,0,2,2,2,2,0,1,0,0,-4
马努-吉诺比利,28:26,6,11,.545,3,6,.500,4,5,.800,0,4,4,4,0,0,2,3,19,+21
帕蒂-米尔斯,17:40,6,10,.600,5,8,.625,0,0,0,0,1,1,2,0,0,0,2,17,+15
蒂亚戈-斯普利特,11:24,1,1,1.0,0,0,0,1,2,.500,0,2,2,2,1,1,0,2,3,+16
马科-贝里内利,8:37,2,3,.667,0,0,0,0,0,0,0,2,2,1,0,0,0,1,4,+2
马特-邦纳,6:59,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,+3
杰夫-艾尔斯,2:12,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
科里-约瑟夫,2:10,0,2,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,-2
阿隆-贝恩斯,1:53,0,0,0,0,0,0,2,2,1.0,1,0,1,0,0,0,0,0,2,-1
