比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2014总决赛G1：热火95-110马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2014年06月5日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Marc Davis, Scott Foster, Ken Mauer",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：迈克尔-比斯利,贾斯汀-汉密尔顿",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：奥斯汀-达耶,达米恩-詹姆斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
克里斯-波什,33:34,7,11,.636,3,4,.750,1,1,1.0,2,7,9,1,0,0,2,2,18,-12
德维恩-韦德,33:02,8,18,.444,1,3,.333,2,2,1.0,2,1,3,2,1,0,2,4,19,-18
勒布朗-詹姆斯,32:53,9,17,.529,2,3,.667,5,6,.833,3,3,6,3,3,0,4,1,25,0
拉沙德-刘易斯,30:38,4,10,.400,2,6,.333,0,0,0,0,0,0,0,0,0,0,1,10,-20
马里奥-查默斯,17:14,1,3,.333,1,1,1.0,0,0,0,0,1,1,1,3,1,5,5,3,-3
雷-阿伦,32:20,6,12,.500,3,8,.375,1,2,.500,0,3,3,3,5,0,0,4,16,-11
诺里斯-科尔,29:05,1,4,.250,0,3,.0,0,0,0,0,3,3,5,2,0,2,3,2,-11
克里斯-安德森,17:32,1,2,.500,0,0,0,0,0,0,0,3,3,0,0,1,1,0,2,-1
肖恩-巴蒂尔,13:42,0,1,.0,0,1,.0,0,0,0,0,1,1,1,0,0,0,1,0,+1
托尼-道格拉斯,未上场,,,,,,,,,,,,,,,,,,,
犹多尼斯-哈斯勒姆,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
格雷格-奥登,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
托尼-帕克,36:36,8,15,.533,2,2,1.0,1,2,.500,0,0,0,8,1,0,4,1,19,+13
蒂姆-邓肯,33:09,9,10,.900,0,0,0,3,4,.750,1,9,10,3,0,0,5,2,21,+10
丹尼-格林,28:08,4,9,.444,3,7,.429,2,2,1.0,1,2,3,1,2,1,1,2,13,+2
科怀-伦纳德,23:33,3,5,.600,2,3,.667,1,2,.500,0,2,2,0,1,0,4,3,9,+11
蒂亚戈-斯普利特,23:15,5,6,.833,0,0,0,4,5,.800,0,4,4,0,0,2,4,1,14,+1
伯瑞斯-迪奥,33:07,1,5,.200,0,1,.0,0,0,0,2,8,10,6,0,0,1,1,2,+30
马努-吉诺比利,32:10,5,10,.500,3,6,.500,3,3,1.0,0,5,5,11,3,1,2,3,16,+22
马科-贝里内利,18:25,2,3,.667,2,3,.667,3,4,.750,0,2,2,1,0,0,1,1,9,-11
帕蒂-米尔斯,11:37,3,5,.600,1,3,.333,0,0,0,1,2,3,0,1,0,0,0,7,-3
阿隆-贝恩斯,未上场,,,,,,,,,,,,,,,,,,,
马特-邦纳,未上场,,,,,,,,,,,,,,,,,,,
科里-约瑟夫,未上场,,,,,,,,,,,,,,,,,,,
杰夫-艾尔斯,未上场,,,,,,,,,,,,,,,,,,,
