比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2020总决赛G5：热火111-108湖人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2020年10月9日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：洛杉矶湖人/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Marc Davis, Kane Fitzgerald, Eric Lewis",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：凯尔-亚历山大,Goran Dragić,KZ-奥克帕拉,盖布-文森特",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：科斯塔斯-阿德托昆博,德文塔-卡科克,塔伦-霍顿-塔克,迪昂-维特斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
吉米-巴特勒,47:12,11,19,.579,1,3,.333,12,12,1.0,5,7,12,11,5,1,3,2,35,+5
杰-克劳德,39:47,4,13,.308,2,9,.222,1,1,1.0,1,2,3,1,0,0,3,5,11,+1
巴姆-阿德巴约,37:55,5,12,.417,0,0,0,3,4,.750,1,3,4,4,0,1,3,3,13,+2
邓肯-罗宾逊,37:03,8,15,.533,7,13,.538,3,3,1.0,1,4,5,2,1,0,1,3,26,+7
泰勒-希罗,30:37,4,11,.364,2,3,.667,2,2,1.0,0,1,1,3,0,0,2,1,12,-2
肯德里克-纳恩,27:40,6,11,.545,2,4,.500,0,0,0,1,3,4,3,0,0,0,0,14,+3
安德烈-伊格达拉,19:46,0,2,.0,0,1,.0,0,0,0,0,6,6,2,1,1,1,5,0,-1
犹多尼斯-哈斯勒姆,未上场,,,,,,,,,,,,,,,,,,,
所罗门-希尔,未上场,,,,,,,,,,,,,,,,,,,
小德里克-琼斯.,未上场,,,,,,,,,,,,,,,,,,,
迈耶斯-伦纳德,未上场,,,,,,,,,,,,,,,,,,,
凯利-奥利尼克,未上场,,,,,,,,,,,,,,,,,,,
克里斯-席尔瓦,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
安东尼-戴维斯,42:13,9,15,.600,2,5,.400,8,8,1.0,3,9,12,3,3,3,2,3,28,+7
勒布朗-詹姆斯,41:51,15,21,.714,6,9,.667,4,6,.667,3,10,13,7,3,0,4,1,40,+7
卡德维尔-波普,31:01,6,15,.400,3,8,.375,1,1,1.0,1,2,3,2,1,0,0,1,16,0
丹尼-格林,23:46,3,8,.375,2,5,.400,0,0,0,0,1,1,1,0,1,1,3,8,+12
德怀特-霍华德,15:25,0,1,.0,0,0,0,2,2,1.0,2,0,2,0,0,0,1,3,2,-3
亚历克斯-卡鲁索,22:47,1,3,.333,1,2,.500,0,0,0,0,3,3,3,1,0,3,2,3,-6
马基夫-莫里斯,22:34,0,2,.0,0,2,.0,0,0,0,1,0,1,0,0,0,3,4,0,-2
凯尔-库兹马,22:09,3,10,.300,0,4,.0,1,2,.500,1,0,1,0,0,1,0,3,7,-17
拉简-隆多,18:14,1,7,.143,0,3,.0,2,2,1.0,1,4,5,5,2,0,1,1,4,-13
奎因-库克,未上场,,,,,,,,,,,,,,,,,,,
贾里德-杜德利,未上场,,,,,,,,,,,,,,,,,,,
贾维尔-麦基,未上场,,,,,,,,,,,,,,,,,,,
J.兰迪-史密斯,未上场,,,,,,,,,,,,,,,,,,,
