比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2008总决赛G2：湖人102-108凯尔特人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2008年06月8日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波士顿凯尔特人/客队：洛杉矶湖人,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, Bob Delaney, Ken Mauer",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：安德鲁-拜纳姆,考比-卡尔,伊拉-纽贝尔",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：斯科特-波拉德,加比-普鲁伊特,布莱恩-斯卡拉布莱恩",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科比-布莱恩特,40:28,11,23,.478,1,3,.333,7,7,1.0,1,3,4,8,3,0,4,3,30,+8
保罗-加索尔,40:25,8,12,.667,0,0,0,1,1,1.0,3,7,10,4,1,0,1,3,17,+4
拉马尔-奥多姆,32:16,5,11,.455,0,0,0,0,0,0,3,5,8,2,0,0,2,5,10,-13
弗拉迪米尔-拉德马诺维奇,30:30,5,12,.417,3,7,.429,0,0,0,3,7,10,2,1,0,1,3,13,+9
德里克-费舍尔,29:54,3,8,.375,1,4,.250,2,2,1.0,0,0,0,3,3,0,0,5,9,+10
萨沙-武贾西奇,19:32,3,6,.500,2,3,.667,0,0,0,0,0,0,1,0,0,2,3,8,+2
乔丹-法马尔,18:06,3,6,.500,3,4,.750,0,0,0,1,0,1,0,0,1,0,1,9,-16
卢克-沃顿,12:48,1,2,.500,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,-16
罗尼-图里亚夫,8:42,2,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-12
特雷沃-阿里扎,7:19,0,1,.0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,-6
D.J. Mbenga,未上场,,,,,,,,,,,,,,,,,,,
克里斯-米姆,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
凯尔特人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
拉简-隆多,41:50,1,4,.250,0,0,0,2,6,.333,1,5,6,16,2,1,2,3,4,-5
保罗-皮尔斯,41:28,9,16,.563,4,4,1.0,6,7,.857,0,4,4,8,1,1,5,4,28,+7
雷-阿伦,40:45,6,11,.545,3,6,.500,2,3,.667,1,1,2,2,0,0,2,3,17,+2
凯文-加内特,39:07,7,19,.368,0,0,0,3,4,.750,3,11,14,3,1,1,4,1,17,-9
肯德里克-帕金斯,13:41,2,2,1.0,0,0,0,3,3,1.0,3,0,3,1,0,0,2,4,7,+5
P.J. Brown,22:37,3,4,.750,0,0,0,0,0,0,1,2,3,0,1,0,0,1,6,+20
詹姆斯-波西,19:43,2,3,.667,2,3,.667,2,2,1.0,0,3,3,0,1,0,0,1,8,-7
里昂-鲍威,14:39,6,7,.857,0,0,0,9,13,.692,1,1,2,0,0,0,0,4,21,+6
萨姆-卡塞尔,6:10,0,2,.0,0,1,.0,0,0,0,0,0,0,1,1,0,0,0,0,+11
托尼-阿伦,未上场,,,,,,,,,,,,,,,,,,,
格伦-戴维斯,未上场,,,,,,,,,,,,,,,,,,,
埃迪-豪斯,未上场,,,,,,,,,,,,,,,,,,,
