比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2008总决赛G6：湖人92-131凯尔特人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G6,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2008年06月17日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波士顿凯尔特人/客队：洛杉矶湖人,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：乔-克劳福德, Eddie F. Rush, Bennett Salvatore",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：安德鲁-拜纳姆,考比-卡尔,D.J. Mbenga",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：斯科特-波拉德,加比-普鲁伊特,布莱恩-斯卡拉布莱恩",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科比-布莱恩特,42:46,7,22,.318,3,9,.333,5,5,1.0,1,2,3,1,1,0,4,1,22,-35
拉马尔-奥多姆,40:25,2,8,.250,0,1,.0,10,16,.625,0,10,10,5,0,0,3,4,14,-34
保罗-加索尔,32:23,4,7,.571,0,0,0,3,4,.750,0,8,8,2,0,0,5,3,11,-28
德里克-费舍尔,28:06,2,4,.500,0,2,.0,3,3,1.0,0,0,0,4,0,0,1,5,7,-15
弗拉迪米尔-拉德马诺维奇,21:30,2,6,.333,2,6,.333,0,0,0,0,3,3,0,0,0,0,5,6,-10
乔丹-法马尔,25:57,3,5,.600,3,4,.750,3,4,.750,0,1,1,1,1,0,4,2,12,-27
萨沙-武贾西奇,14:58,3,4,.750,1,2,.500,0,0,0,1,1,2,1,1,0,2,0,7,-11
卢克-沃顿,14:02,2,4,.500,1,2,.500,3,4,.750,0,0,0,2,1,0,0,2,8,-19
罗尼-图里亚夫,10:49,1,1,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,-9
特雷沃-阿里扎,9:04,1,3,.333,0,1,.0,1,2,.500,0,1,1,0,0,0,0,1,3,-7
克里斯-米姆,未上场,,,,,,,,,,,,,,,,,,,
伊拉-纽贝尔,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
凯尔特人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
保罗-皮尔斯,38:35,4,13,.308,2,7,.286,7,8,.875,1,2,3,10,2,0,2,2,17,+35
凯文-加内特,35:39,10,18,.556,0,1,.0,6,7,.857,3,11,14,4,3,1,0,2,26,+32
雷-阿伦,32:23,8,12,.667,7,9,.778,3,3,1.0,1,3,4,2,3,0,1,0,26,+23
拉简-隆多,31:52,8,20,.400,0,1,.0,5,7,.714,2,5,7,8,6,0,1,3,21,+24
肯德里克-帕金斯,13:25,1,3,.333,0,0,0,0,0,0,2,2,4,0,0,1,2,5,2,+11
詹姆斯-波西,26:07,4,4,1.0,3,3,1.0,0,0,0,1,2,3,1,3,1,1,2,11,+20
P.J. Brown,16:11,1,2,.500,0,0,0,4,4,1.0,1,2,3,2,1,1,0,4,6,+9
埃迪-豪斯,16:08,2,6,.333,1,5,.200,4,4,1.0,0,2,2,5,0,0,0,0,9,+15
格伦-戴维斯,14:34,1,2,.500,0,0,0,1,2,.500,2,2,4,0,0,0,0,2,3,+15
里昂-鲍威,9:18,3,5,.600,0,0,0,2,2,1.0,1,3,4,0,0,0,0,5,8,+5
托尼-阿伦,5:48,1,2,.500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,+6
萨姆-卡塞尔,未上场,,,,,,,,,,,,,,,,,,,
