比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2008总决赛G1：湖人88-98凯尔特人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2008年06月5日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波士顿凯尔特人/客队：洛杉矶湖人,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, Scott Foster, Eddie F. Rush",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：安德鲁-拜纳姆,考比-卡尔,伊拉-纽贝尔",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：斯科特-波拉德,加比-普鲁伊特,布莱恩-斯卡拉布莱恩",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科比-布莱恩特,41:52,9,26,.346,0,3,.0,6,6,1.0,0,3,3,6,1,1,4,3,24,-13
保罗-加索尔,41:28,6,11,.545,0,0,0,3,4,.750,2,6,8,4,1,1,1,3,15,-5
德里克-费舍尔,40:49,4,9,.444,1,3,.333,6,8,.750,0,4,4,6,3,0,2,2,15,-7
拉马尔-奥多姆,39:01,6,11,.545,0,1,.0,2,5,.400,2,4,6,1,1,0,0,5,14,-6
弗拉迪米尔-拉德马诺维奇,17:03,2,5,.400,1,4,.250,0,0,0,2,3,5,2,2,0,0,5,5,+1
萨沙-武贾西奇,26:31,2,7,.286,1,3,.333,3,3,1.0,0,2,2,1,0,0,0,4,8,-9
卢克-沃顿,13:42,0,2,.0,0,0,0,0,0,0,1,1,2,1,0,0,0,3,0,-5
罗尼-图里亚夫,12:23,2,5,.400,0,0,0,1,2,.500,0,2,2,0,0,0,0,3,5,-3
乔丹-法马尔,7:11,1,1,1.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,-3
特雷沃-阿里扎,未上场,,,,,,,,,,,,,,,,,,,
D.J. Mbenga,未上场,,,,,,,,,,,,,,,,,,,
克里斯-米姆,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
凯尔特人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
雷-阿伦,43:57,5,13,.385,2,6,.333,7,8,.875,1,7,8,5,1,1,4,2,19,+11
凯文-加内特,40:39,9,22,.409,0,0,0,6,6,1.0,4,9,13,3,1,0,1,3,24,+8
拉简-隆多,35:02,4,10,.400,0,2,.0,7,10,.700,1,4,5,7,0,0,2,1,15,+9
保罗-皮尔斯,31:04,7,10,.700,3,4,.750,5,7,.714,0,4,4,2,1,0,3,4,22,+10
肯德里克-帕金斯,23:01,0,1,.0,0,0,0,1,2,.500,1,3,4,0,0,1,1,4,1,-4
詹姆斯-波西,22:48,1,6,.167,1,5,.200,0,0,0,0,2,2,0,2,0,2,3,3,+3
P.J. Brown,21:12,1,4,.250,0,0,0,0,0,0,1,5,6,2,0,1,0,3,2,+10
萨姆-卡塞尔,12:58,4,9,.444,0,2,.0,0,0,0,0,0,0,1,1,0,0,1,8,+1
里昂-鲍威,9:19,1,1,1.0,0,0,0,2,2,1.0,2,2,4,0,0,0,0,1,4,+2
托尼-阿伦,未上场,,,,,,,,,,,,,,,,,,,
格伦-戴维斯,未上场,,,,,,,,,,,,,,,,,,,
埃迪-豪斯,未上场,,,,,,,,,,,,,,,,,,,
