比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1993总决赛G4：太阳105-111公牛,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1993年06月16日 June 16,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：芝加哥公牛/客队：菲尼克斯太阳,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Hugh Evans, Bill Oakes, Ed T. Rush",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
太阳全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
查尔斯-巴克利,46:00,10,19,.526,0,2,.0,12,15,.800,3,9,12,10,3,1,1,1,32,
丹-马尔利,46:00,5,9,.556,3,5,.600,1,3,.333,2,3,5,3,0,1,0,1,14,
凯文-约翰逊,43:00,7,16,.438,0,0,0,5,6,.833,0,3,3,4,0,0,3,3,19,
理查德-杜马斯,25:00,8,11,.727,0,0,0,1,1,1.0,1,0,1,0,1,0,2,3,17,
马克-韦斯特,19:00,3,5,.600,0,0,0,2,2,1.0,1,3,4,0,0,1,1,6,8,
汤姆-钱伯斯,23:00,1,9,.111,0,0,0,5,6,.833,0,4,4,0,0,0,1,4,7,
丹尼-安吉,21:00,1,5,.200,0,0,0,0,0,0,1,2,3,2,0,0,1,3,2,
奥利弗-米勒,14:00,1,3,.333,0,1,.0,0,0,0,0,2,2,1,1,0,1,5,2,
弗兰克-约翰逊,3:00,2,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
迈克尔-乔丹,46:00,21,37,.568,0,1,.0,13,18,.722,1,7,8,4,0,0,1,3,55,
斯科蒂-皮蓬,44:00,7,14,.500,0,2,.0,0,2,.0,0,6,6,10,1,0,6,1,14,
霍雷斯-格兰特,37:00,7,11,.636,0,0,0,3,6,.500,8,8,16,2,3,3,0,5,17,
B.J. Armstrong,35:00,4,10,.400,1,2,.500,2,2,1.0,0,2,2,6,3,1,1,2,11,
比尔-卡特赖特,30:00,1,4,.250,0,0,0,1,2,.500,2,3,5,2,0,0,0,4,3,
约翰-帕克森,18:00,2,5,.400,2,4,.500,0,0,0,1,2,3,1,0,0,1,2,6,
斯格特-威廉姆斯,14:00,1,1,1.0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,2,
斯塔塞-金,9:00,1,1,1.0,0,0,0,1,2,.500,0,0,0,0,1,0,0,3,3,
罗德尼-麦克雷,4:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,
达内尔-沃克,2:00,0,0,0,0,0,0,0,1,.0,0,0,0,1,0,0,0,0,0,
特伦特-塔克,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
