比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1993总决赛G3：太阳129-121公牛(3加时),,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1993年06月13日 June 13,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：芝加哥公牛/客队：菲尼克斯太阳,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, Darell Garretson, Mike Mathis",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
太阳全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
凯文-约翰逊,62:00,11,24,.458,0,1,.0,3,4,.750,0,7,7,9,2,1,7,5,25,
丹-马尔利,59:00,10,17,.588,6,8,.750,2,2,1.0,3,4,7,4,2,0,0,0,28,
查尔斯-巴克利,53:00,9,20,.450,1,1,1.0,5,9,.556,2,17,19,4,1,1,2,5,24,
马克-韦斯特,36:00,4,7,.571,0,0,0,3,6,.500,3,2,5,1,0,2,2,3,11,
理查德-杜马斯,24:00,7,16,.438,0,0,0,3,4,.750,3,2,5,1,3,1,1,3,17,
丹尼-安吉,40:00,2,5,.400,2,3,.667,4,4,1.0,1,4,5,5,0,0,1,4,10,
汤姆-钱伯斯,27:00,5,9,.556,0,0,0,2,2,1.0,2,0,2,0,1,1,3,2,12,
奥利弗-米勒,11:00,1,1,1.0,0,0,0,0,0,0,1,1,2,1,0,2,3,4,2,
弗兰克-约翰逊,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
杰罗德-穆斯塔夫,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
B.J. Armstrong,58:00,10,17,.588,1,3,.333,0,0,0,0,0,0,7,0,0,1,4,21,
迈克尔-乔丹,57:00,19,43,.442,3,9,.333,3,6,.500,3,6,9,6,2,1,3,5,44,
斯科蒂-皮蓬,56:00,12,35,.343,0,0,0,2,2,1.0,5,5,10,9,1,3,4,3,26,
霍雷斯-格兰特,45:00,6,11,.545,0,0,0,1,1,1.0,8,9,17,1,2,0,2,6,13,
比尔-卡特赖特,20:00,4,12,.333,0,0,0,0,0,0,3,0,3,2,1,0,0,2,8,
斯格特-威廉姆斯,46:00,2,8,.250,0,0,0,0,0,0,6,8,14,4,2,1,2,3,4,
特伦特-塔克,14:00,1,1,1.0,1,1,1.0,0,0,0,0,1,1,1,0,0,1,3,3,
斯塔塞-金,12:00,0,2,.0,0,0,0,0,0,0,2,3,5,2,0,1,2,0,0,
约翰-帕克森,5:00,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,
达内尔-沃克,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
