比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2023总决赛G4：掘金108-95热火,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2023年06月9日 8:30,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：迈阿密热火/客队：丹佛掘金,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Scott Foster, Bill Kennedy, James Williams",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：泰勒-希罗,维克托-奥拉迪波",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
掘金全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
贾马尔-穆雷,42:39,5,17,.294,2,3,.667,3,3,1.0,0,3,3,12,1,0,0,1,15,+22
阿龙-戈登,41:42,11,15,.733,3,4,.750,2,3,.667,1,6,7,6,1,0,2,4,27,+29
尼古拉-约基奇,37:08,8,19,.421,3,7,.429,4,4,1.0,2,10,12,4,3,3,3,5,23,+9
卡德维尔-波普,36:01,2,5,.400,2,5,.400,1,2,.500,2,2,4,2,3,2,0,2,7,+16
小迈克尔-波特.,22:36,4,10,.400,0,3,.0,3,4,.750,0,3,3,0,0,0,0,3,11,+13
布鲁斯-布朗,29:35,8,11,.727,3,5,.600,2,3,.667,0,4,4,2,1,1,0,1,21,0
杰夫-格林,15:33,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,1,0,1,1,3,-7
克里斯琴-布劳恩,14:45,0,1,.0,0,0,0,1,2,.500,0,1,1,0,1,1,0,1,1,-17
托马斯-布莱恩特,未上场,,,,,,,,,,,,,,,,,,,
弗拉特科-钱查尔,未上场,,,,,,,,,,,,,,,,,,,
雷吉-杰克逊,未上场,,,,,,,,,,,,,,,,,,,
德安德烈-乔丹,未上场,,,,,,,,,,,,,,,,,,,
齐克-纳吉,未上场,,,,,,,,,,,,,,,,,,,
伊斯梅尔-史密斯,未上场,,,,,,,,,,,,,,,,,,,
佩顿-沃特森,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
吉米-巴特勒,45:25,9,17,.529,1,3,.333,6,9,.667,2,5,7,7,1,1,1,1,25,-9
巴姆-阿德巴约,43:39,8,19,.421,0,0,0,4,4,1.0,2,9,11,3,0,1,7,1,20,-18
马克斯-斯特鲁斯,18:55,0,4,.0,0,3,.0,0,0,0,1,4,5,0,0,0,0,3,0,-7
盖布-文森特,18:39,1,6,.167,0,4,.0,0,0,0,0,0,0,1,0,0,2,3,2,-21
凯文-乐福,18:19,4,6,.667,3,5,.600,1,1,1.0,0,4,4,0,0,0,0,2,12,-13
凯莱布-马丁,32:51,5,12,.417,1,2,.500,0,0,0,2,3,5,1,0,0,1,3,11,+1
凯尔-洛瑞,32:46,3,7,.429,1,4,.250,6,6,1.0,1,2,3,7,0,0,2,1,13,+3
邓肯-罗宾逊,25:01,5,7,.714,2,4,.500,0,0,0,0,1,1,3,1,0,1,4,12,-6
科迪-泽勒,4:21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,+5
海伍德-海史密斯,0:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
犹多尼斯-哈斯勒姆,未上场,,,,,,,,,,,,,,,,,,,
尼古拉-约维奇,未上场,,,,,,,,,,,,,,,,,,,
奥默-尤尔特塞文,未上场,,,,,,,,,,,,,,,,,,,
