比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2023总决赛G2：热火111-108掘金,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2023年06月4日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：丹佛掘金/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：John Goble, Courtney Kirkland, Zach Zarba",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：泰勒-希罗,维克托-奥拉迪波",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
吉米-巴特勒,40:21,7,19,.368,2,5,.400,5,5,1.0,2,2,4,9,0,0,1,0,21,+3
巴姆-阿德巴约,40:00,8,14,.571,0,0,0,5,5,1.0,0,9,9,4,0,2,3,4,21,+17
盖布-文森特,31:39,8,12,.667,4,6,.667,3,3,1.0,0,0,0,3,2,0,1,4,23,+22
马克斯-斯特鲁斯,29:13,4,10,.400,4,10,.400,2,3,.667,0,2,2,6,0,1,0,3,14,+14
凯文-乐福,22:13,2,9,.222,2,6,.333,0,0,0,3,7,10,1,2,0,0,0,6,+18
凯尔-洛瑞,23:38,2,4,.500,2,3,.667,3,3,1.0,0,0,0,3,0,0,3,3,9,-15
凯莱布-马丁,21:26,1,3,.333,1,2,.500,0,0,0,2,3,5,1,1,1,2,1,3,-7
邓肯-罗宾逊,17:22,4,5,.800,2,3,.667,0,1,.0,0,0,0,1,0,0,0,2,10,-6
科迪-泽勒,8:00,2,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,-14
海伍德-海史密斯,6:08,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,-17
犹多尼斯-哈斯勒姆,未上场,,,,,,,,,,,,,,,,,,,
尼古拉-约维奇,未上场,,,,,,,,,,,,,,,,,,,
奥默-尤尔特塞文,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
掘金全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
尼古拉-约基奇,41:53,16,28,.571,2,5,.400,7,8,.875,3,8,11,4,0,0,5,3,41,-11
贾马尔-穆雷,38:49,7,15,.467,3,8,.375,1,1,1.0,1,3,4,10,1,0,1,2,18,-2
阿龙-戈登,38:13,5,7,.714,2,2,1.0,0,2,.0,1,6,7,2,0,1,0,3,12,-7
卡德维尔-波普,36:08,1,4,.250,1,3,.333,3,3,1.0,0,3,3,3,1,1,1,6,6,-14
小迈克尔-波特.,26:23,2,8,.250,1,6,.167,0,0,0,1,5,6,0,0,0,1,2,5,-15
布鲁斯-布朗,27:15,4,9,.444,1,3,.333,2,2,1.0,1,4,5,0,2,0,3,1,11,+14
杰夫-格林,15:54,1,1,1.0,1,1,1.0,6,6,1.0,1,0,1,1,0,0,1,2,9,+12
克里斯琴-布劳恩,15:25,3,3,1.0,0,0,0,0,0,0,1,0,1,3,3,0,1,2,6,+8
托马斯-布莱恩特,未上场,,,,,,,,,,,,,,,,,,,
弗拉特科-钱查尔,未上场,,,,,,,,,,,,,,,,,,,
雷吉-杰克逊,未上场,,,,,,,,,,,,,,,,,,,
德安德烈-乔丹,未上场,,,,,,,,,,,,,,,,,,,
齐克-纳吉,未上场,,,,,,,,,,,,,,,,,,,
伊斯梅尔-史密斯,未上场,,,,,,,,,,,,,,,,,,,
佩顿-沃特森,未上场,,,,,,,,,,,,,,,,,,,
