比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2023总决赛G1：热火93-104掘金,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2023年06月1日 8:30,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：丹佛掘金/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Marc Davis, David Guthrie, Ed Malloy",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：泰勒-希罗,维克托-奥拉迪波",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
巴姆-阿德巴约,39:58,13,25,.520,0,1,.0,0,0,0,4,9,13,5,0,0,1,4,26,-6
吉米-巴特勒,38:02,6,14,.429,1,2,.500,0,0,0,3,4,7,7,1,1,1,1,13,-17
盖布-文森特,37:43,7,14,.500,5,10,.500,0,0,0,1,1,2,5,0,1,1,1,19,0
凯莱布-马丁,24:34,1,7,.143,1,2,.500,0,0,0,1,3,4,0,1,1,0,3,3,-10
马克斯-斯特鲁斯,21:01,0,10,.0,0,9,.0,0,0,0,0,5,5,3,0,0,0,0,0,-12
凯尔-洛瑞,25:35,4,8,.500,3,6,.500,0,0,0,0,5,5,5,1,0,2,1,11,+2
海伍德-海史密斯,23:24,7,10,.700,2,4,.500,2,2,1.0,1,1,2,0,2,1,1,2,18,-3
邓肯-罗宾逊,21:09,1,6,.167,1,5,.200,0,0,0,0,1,1,1,0,0,1,2,3,-4
科迪-泽勒,7:30,0,1,.0,0,0,0,0,0,0,1,2,3,0,0,0,1,1,0,-5
尼古拉-约维奇,0:32,0,1,.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
奥默-尤尔特塞文,0:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
犹多尼斯-哈斯勒姆,未上场,,,,,,,,,,,,,,,,,,,
凯文-乐福,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
掘金全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
贾马尔-穆雷,44:04,11,22,.500,2,7,.286,2,2,1.0,1,5,6,10,1,0,3,2,26,+9
小迈克尔-波特.,43:04,5,16,.313,2,11,.182,2,2,1.0,2,11,13,1,0,2,0,0,14,+20
尼古拉-约基奇,40:27,8,12,.667,1,2,.500,10,12,.833,0,10,10,14,1,1,2,1,27,+14
卡德维尔-波普,36:27,3,8,.375,1,3,.333,0,2,.0,1,2,3,0,1,0,1,2,7,+5
阿龙-戈登,36:05,7,10,.700,0,1,.0,2,2,1.0,2,4,6,1,0,1,0,0,16,+15
布鲁斯-布朗,20:45,4,7,.571,2,3,.667,0,0,0,0,5,5,2,1,0,3,1,10,+1
杰夫-格林,10:57,2,3,.667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,-8
克里斯琴-布劳恩,8:11,0,1,.0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,-1
托马斯-布莱恩特,未上场,,,,,,,,,,,,,,,,,,,
弗拉特科-钱查尔,未上场,,,,,,,,,,,,,,,,,,,
雷吉-杰克逊,未上场,,,,,,,,,,,,,,,,,,,
德安德烈-乔丹,未上场,,,,,,,,,,,,,,,,,,,
齐克-纳吉,未上场,,,,,,,,,,,,,,,,,,,
伊斯梅尔-史密斯,未上场,,,,,,,,,,,,,,,,,,,
佩顿-沃特森,未上场,,,,,,,,,,,,,,,,,,,
