比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2017总决赛G3：勇士118-113骑士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2017年06月7日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：克里夫兰骑士/客队：金州勇士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Ed Malloy, Ken Mauer, Monty McCutchen",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：达米安-琼斯,凯文-卢尼",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：凯-费尔德,埃迪-塔瓦雷斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
凯文-杜兰特,40:55,10,18,.556,4,7,.571,7,8,.875,0,9,9,4,1,1,3,2,31,0
克莱-汤普森,40:40,11,18,.611,6,11,.545,2,2,1.0,0,5,5,2,0,0,1,4,30,+3
斯蒂芬-库里,39:22,8,19,.421,5,9,.556,5,5,1.0,5,8,13,6,2,0,1,3,26,+11
德雷蒙德-格林,32:54,3,9,.333,0,3,.0,2,2,1.0,1,7,8,7,1,1,4,5,8,+14
扎扎-帕楚里亚,13:28,0,3,.0,0,0,0,0,0,0,0,1,1,1,0,0,4,4,0,-2
安德烈-伊格达拉,29:39,2,6,.333,1,3,.333,2,2,1.0,1,4,5,5,4,1,2,3,7,+10
肖恩-利文斯顿,11:52,3,6,.500,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,-2
大卫-韦斯特,10:35,3,3,1.0,0,0,0,1,1,1.0,0,1,1,0,0,0,0,1,7,-6
伊恩-克拉克,8:32,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,-6
贾维尔-麦基,7:57,0,0,0,0,0,0,1,2,.500,1,0,1,2,0,1,1,3,1,+1
帕特里克-麦考,3:54,0,1,.0,0,0,0,2,2,1.0,0,0,0,0,0,0,0,0,2,+4
马特-巴恩斯,0:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
詹姆斯-迈克尔-麦卡杜,0:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,45:37,15,27,.556,4,9,.444,5,6,.833,3,8,11,9,1,1,5,2,39,+7
凯里-欧文,44:23,16,29,.552,0,7,.0,6,6,1.0,1,5,6,3,0,0,2,5,38,-9
凯文-乐福,37:16,1,9,.111,1,7,.143,6,7,.857,4,9,13,1,6,0,2,3,9,-11
J.兰迪-史密斯,34:20,5,10,.500,5,10,.500,1,2,.500,0,1,1,0,2,0,1,4,16,-8
特里斯坦-汤普森,23:05,0,1,.0,0,0,0,0,0,0,1,2,3,2,0,2,1,1,0,-6
凯尔-科沃尔,24:08,3,7,.429,2,6,.333,0,0,0,0,1,1,0,0,0,0,4,8,+3
理查德-杰弗森,15:41,0,2,.0,0,2,.0,1,2,.500,1,1,2,1,0,0,1,3,1,-5
伊曼-香珀特,11:53,0,3,.0,0,2,.0,2,2,1.0,0,0,0,1,0,0,0,2,2,0
德隆-威廉姆斯,3:37,0,2,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,1,0,+4
钱宁-弗莱,未上场,,,,,,,,,,,,,,,,,,,
邓台-琼斯,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
德里克-威廉姆斯,未上场,,,,,,,,,,,,,,,,,,,
