比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2016总决赛G7：骑士93-89勇士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G7,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2016年06月19日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：金州勇士/客队：克里夫兰骑士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Mike Callahan, Dan Crawford, Monty McCutchen",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,46:49,9,24,.375,1,5,.200,8,10,.800,1,10,11,11,2,3,5,1,27,+4
凯里-欧文,43:00,10,23,.435,2,5,.400,4,4,1.0,3,3,6,1,1,1,2,3,26,+10
J.兰迪-史密斯,38:55,5,13,.385,2,8,.250,0,0,0,0,4,4,2,1,0,2,3,12,+7
特里斯坦-汤普森,31:49,3,3,1.0,0,0,0,3,4,.750,0,3,3,0,0,2,0,4,9,+2
凯文-乐福,30:02,3,9,.333,0,3,.0,3,4,.750,4,10,14,3,2,0,1,2,9,+19
理查德-杰弗森,25:30,1,4,.250,0,0,0,0,0,0,1,8,9,0,1,0,0,1,2,-8
伊曼-香珀特,19:10,1,3,.333,1,3,.333,3,3,1.0,0,1,1,0,0,0,0,0,6,-9
莫-威廉姆斯,4:45,1,3,.333,0,1,.0,0,0,0,0,0,0,0,0,0,1,1,2,-5
马修-戴拉维多瓦,未上场,,,,,,,,,,,,,,,,,,,
钱宁-弗莱,未上场,,,,,,,,,,,,,,,,,,,
邓台-琼斯,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
季莫费-莫兹戈夫,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德雷蒙德-格林,46:54,11,15,.733,6,8,.750,4,4,1.0,1,14,15,9,2,0,2,3,32,-1
克莱-汤普森,42:17,6,17,.353,2,10,.200,0,0,0,1,1,2,2,1,0,3,2,14,-11
斯蒂芬-库里,39:16,6,19,.316,4,14,.286,1,1,1.0,0,5,5,2,1,1,4,4,17,-3
哈里森-巴恩斯,29:24,3,10,.300,2,4,.500,2,2,1.0,0,2,2,1,1,0,0,4,10,-6
费斯图斯-埃泽利,10:45,0,4,.0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,-9
安德烈-伊格达拉,37:53,2,6,.333,0,3,.0,0,2,.0,2,7,9,4,2,2,0,3,4,+3
肖恩-利文斯顿,16:04,3,7,.429,0,0,0,2,2,1.0,1,0,1,2,0,0,1,1,8,+8
安德森-瓦莱乔,8:29,0,1,.0,0,0,0,1,2,.500,0,0,0,1,0,0,0,3,1,-9
马利斯-斯贝茨,4:34,0,2,.0,0,1,.0,0,0,0,2,2,4,0,0,2,0,0,0,+3
莱昂德罗-巴博萨,4:24,1,2,.500,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,3,+5
伊恩-克拉克,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-迈克尔-麦卡杜,未上场,,,,,,,,,,,,,,,,,,,
布兰登-拉什,未上场,,,,,,,,,,,,,,,,,,,
