比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2016总决赛G5：骑士112-97勇士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2016年06月13日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：金州勇士/客队：克里夫兰骑士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Marc Davis, Monty McCutchen, Derrick Stafford",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：萨沙-考恩,乔丹-麦克雷",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：伊恩-克拉克,凯文-卢尼",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,42:38,16,30,.533,4,8,.500,5,8,.625,4,12,16,7,3,3,2,1,41,+13
特里斯坦-汤普森,41:32,1,3,.333,0,0,0,4,10,.400,3,12,15,0,1,2,0,1,6,+11
凯里-欧文,39:47,17,24,.708,5,7,.714,2,2,1.0,0,3,3,6,2,1,4,4,41,+20
凯文-乐福,32:53,1,5,.200,0,3,.0,0,0,0,0,3,3,1,0,1,2,4,2,+18
J.兰迪-史密斯,30:43,3,9,.333,1,2,.500,3,3,1.0,1,1,2,1,1,0,1,5,10,+11
伊曼-香珀特,25:41,2,4,.500,0,1,.0,0,0,0,0,1,1,0,1,2,1,0,4,+6
理查德-杰弗森,14:18,4,6,.667,0,1,.0,0,0,0,0,1,1,0,3,0,3,1,8,+7
马修-戴拉维多瓦,3:28,0,2,.0,0,2,.0,0,0,0,0,0,0,0,0,0,2,3,0,-5
莫-威廉姆斯,3:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-3
邓台-琼斯,1:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
詹姆斯-琼斯,1:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
季莫费-莫兹戈夫,1:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
钱宁-弗莱,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
安德烈-伊格达拉,41:02,6,13,.462,1,4,.250,2,2,1.0,4,7,11,6,2,0,3,0,15,-13
克莱-汤普森,40:31,11,20,.550,6,11,.545,9,9,1.0,0,3,3,1,0,0,1,2,37,-21
斯蒂芬-库里,40:07,8,21,.381,5,15,.333,4,4,1.0,2,5,7,4,0,3,4,2,25,-6
哈里森-巴恩斯,37:54,2,14,.143,1,6,.167,0,2,.0,1,4,5,1,1,1,0,1,5,-6
安德鲁-博古特,7:35,0,0,0,0,0,0,0,0,0,1,2,3,0,0,3,2,4,0,-6
肖恩-利文斯顿,21:13,3,7,.429,0,1,.0,1,1,1.0,1,3,4,3,1,0,3,1,7,-16
马利斯-斯贝茨,11:20,0,6,.0,0,3,.0,0,0,0,1,2,3,2,1,0,2,2,0,+1
莱昂德罗-巴博萨,9:53,1,3,.333,1,2,.500,0,0,0,0,0,0,0,0,0,2,3,3,-5
费斯图斯-埃泽利,9:31,1,3,.333,0,0,0,0,0,0,2,1,3,0,0,1,0,2,2,+4
安德森-瓦莱乔,8:36,0,0,0,0,0,0,3,8,.375,1,0,1,1,0,0,0,0,3,+5
詹姆斯-迈克尔-麦卡杜,7:37,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,-10
布兰登-拉什,4:41,0,1,.0,0,1,.0,0,0,0,0,1,1,0,1,1,0,1,0,-2
德雷蒙德-格林,Player Suspended,,,,,,,,,,,,,,,,,,,
