比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2016总决赛G2：骑士77-110勇士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2016年06月5日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：金州勇士/客队：克里夫兰骑士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Tony Brothers, James Capers Jr., Scott Foster",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：萨沙-考恩,乔丹-麦克雷",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：凯文-卢尼,詹姆斯-迈克尔-麦卡杜",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,33:38,7,17,.412,1,5,.200,4,4,1.0,0,8,8,9,4,1,7,3,19,-20
J.兰迪-史密斯,33:24,2,6,.333,1,4,.250,0,2,.0,1,1,2,2,2,0,1,3,5,-21
凯里-欧文,33:06,5,14,.357,0,3,.0,0,0,0,1,2,3,1,3,0,3,1,10,-26
凯文-乐福,20:46,2,7,.286,1,4,.250,0,0,0,0,3,3,0,1,0,1,0,5,-8
特里斯坦-汤普森,19:13,3,8,.375,0,0,0,2,2,1.0,3,2,5,0,1,0,0,4,8,-13
理查德-杰弗森,26:01,4,6,.667,0,0,0,4,6,.667,2,3,5,0,1,1,1,2,12,-14
伊曼-香珀特,19:53,1,3,.333,1,3,.333,0,0,0,0,1,1,0,0,0,1,1,3,-20
马修-戴拉维多瓦,16:42,2,9,.222,1,2,.500,2,2,1.0,0,1,1,2,0,0,0,1,7,-14
季莫费-莫兹戈夫,12:00,1,3,.333,0,0,0,3,4,.750,2,1,3,0,1,0,2,3,5,-13
詹姆斯-琼斯,8:37,0,0,0,0,0,0,0,2,.0,0,2,2,0,0,0,0,1,0,-4
莫-威廉姆斯,8:11,0,3,.0,0,2,.0,0,0,0,0,0,0,1,2,0,1,0,0,-6
邓台-琼斯,4:37,1,2,.500,0,0,0,1,2,.500,0,0,0,0,0,0,0,0,3,-3
钱宁-弗莱,3:52,0,1,.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-3
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
哈里森-巴恩斯,34:30,2,7,.286,0,2,.0,1,2,.500,1,4,5,1,1,1,3,0,5,+11
德雷蒙德-格林,33:52,11,20,.550,5,8,.625,1,1,1.0,1,6,7,5,1,0,1,2,28,+20
克莱-汤普森,31:29,6,13,.462,4,8,.500,1,1,1.0,0,2,2,5,2,0,4,1,17,+23
斯蒂芬-库里,24:43,7,11,.636,4,8,.500,0,0,0,1,8,9,4,0,1,4,4,18,+25
安德鲁-博古特,14:57,1,4,.250,0,0,0,0,0,0,3,3,6,0,2,5,2,4,2,+10
安德烈-伊格达拉,28:22,3,6,.500,0,2,.0,1,3,.333,3,2,5,3,0,1,2,1,7,+28
肖恩-利文斯顿,24:08,3,4,.750,0,0,0,1,1,1.0,0,2,2,5,0,1,1,2,7,+12
莱昂德罗-巴博萨,17:39,5,7,.714,0,2,.0,0,0,0,1,2,3,1,1,0,0,1,10,+21
费斯图斯-埃泽利,10:58,2,3,.667,0,0,0,2,2,1.0,1,1,2,1,0,0,1,1,6,+2
伊恩-克拉克,7:37,3,4,.750,1,2,.500,0,0,0,1,2,3,1,0,0,1,1,7,+6
布兰登-拉什,7:08,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,+4
马利斯-斯贝茨,4:37,1,2,.500,1,1,1.0,0,0,0,0,0,0,0,0,0,0,2,3,+3
安德森-瓦莱乔,未上场,,,,,,,,,,,,,,,,,,,
