比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2015总决赛G4：勇士103-82骑士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2015年06月11日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：克里夫兰骑士/客队：金州勇士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Mike Callahan, 乔-克劳福德, Jason Phillips",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：Ognjen Kuzmić,布兰登-拉什",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：凯文-乐福,Anderson Varejão",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
斯蒂芬-库里,41:03,8,17,.471,4,7,.571,2,2,1.0,0,2,2,7,1,0,4,1,22,+18
安德烈-伊格达拉,39:16,8,15,.533,4,9,.444,2,2,1.0,1,7,8,0,1,0,1,4,22,+16
克莱-汤普森,39:06,4,9,.444,1,5,.200,0,0,0,0,2,2,2,0,1,0,0,9,+15
哈里森-巴恩斯,33:04,4,9,.444,2,5,.400,4,4,1.0,3,5,8,0,0,2,0,2,14,+9
德雷蒙德-格林,32:21,6,11,.545,1,3,.333,4,7,.571,0,7,7,6,2,1,0,5,17,+16
肖恩-利文斯顿,24:30,2,4,.500,0,0,0,3,4,.750,1,7,8,4,1,1,1,3,7,+25
大卫-李,15:28,3,7,.429,0,0,0,3,6,.500,0,5,5,3,0,0,0,1,9,+4
莱昂德罗-巴博萨,6:57,1,3,.333,0,1,.0,0,0,0,0,0,0,1,0,0,0,1,2,+3
安德鲁-博古特,2:46,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0
马利斯-斯贝茨,2:08,0,2,.0,0,0,0,1,2,.500,1,1,2,0,0,0,0,1,1,0
贾斯廷-霍勒迪,2:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
詹姆斯-迈克尔-麦卡杜,1:12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1
费斯图斯-埃泽利,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,40:55,7,22,.318,1,4,.250,5,10,.500,2,10,12,8,0,0,2,5,20,-15
伊曼-香珀特,39:04,2,9,.222,1,5,.200,0,0,0,1,6,7,1,0,1,0,2,5,-12
特里斯坦-汤普森,38:25,6,10,.600,0,0,0,0,0,0,6,7,13,0,0,1,0,1,12,-13
季莫费-莫兹戈夫,33:29,9,16,.563,0,0,0,10,12,.833,6,4,10,1,1,0,3,3,28,-5
马修-戴拉维多瓦,33:24,3,14,.214,2,9,.222,2,2,1.0,0,1,1,4,1,0,3,2,10,-12
J.兰迪-史密斯,27:34,2,12,.167,0,8,.0,0,0,0,1,1,2,2,0,0,0,4,4,-27
詹姆斯-琼斯,17:51,0,3,.0,0,1,.0,0,0,0,0,3,3,0,0,1,1,1,0,-15
肯德里克-帕金斯,3:06,0,2,.0,0,0,0,2,2,1.0,0,1,1,0,0,0,0,1,2,-2
乔-哈里斯,3:06,0,0,0,0,0,0,1,2,.500,0,0,0,0,0,0,0,0,1,-2
迈克-米勒,3:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
布兰登-海伍德,未上场,,,,,,,,,,,,,,,,,,,
凯里-欧文,Not With Team,,,,,,,,,,,,,,,,,,,
肖恩-马里昂,未上场,,,,,,,,,,,,,,,,,,,
