比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2009总决赛G4：湖人99-91魔术(1加时),,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2009年06月11日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：奥兰多魔术/客队：洛杉矶湖人,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Mike Callahan, Scott Foster, Bennett Salvatore",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：亚当-莫里森,孙悦",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：泰伦-卢,杰里米-理查德森",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
保罗-加索尔,49:16,7,14,.500,0,0,0,2,4,.500,2,8,10,1,1,0,1,4,16,+9
科比-布莱恩特,48:52,11,31,.355,2,6,.333,8,8,1.0,1,6,7,8,1,1,3,3,32,+11
特雷沃-阿里扎,43:32,6,14,.429,3,4,.750,1,2,.500,3,6,9,2,2,0,1,3,16,+15
德里克-费舍尔,42:16,5,11,.455,2,7,.286,0,0,0,1,3,4,1,2,0,0,5,12,+15
安德鲁-拜纳姆,15:40,2,3,.667,0,0,0,2,2,1.0,1,1,2,0,0,0,0,5,6,+8
拉马尔-奥多姆,27:36,4,10,.400,1,2,.500,0,0,0,2,3,5,1,1,0,0,5,9,+5
卢克-沃顿,11:08,2,2,1.0,0,0,0,2,4,.500,0,2,2,0,0,0,0,0,6,-6
乔丹-法马尔,9:06,0,2,.0,0,2,.0,0,0,0,0,0,0,0,1,0,0,1,0,-3
约什-鲍威尔,8:04,1,2,.500,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,-6
萨沙-武贾西奇,4:08,0,2,.0,0,2,.0,0,0,0,0,0,0,1,0,0,0,0,0,-3
D.J. Mbenga,3:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
香农-布朗,1:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
,,,,,,,,,,,,,,,,,,,,
魔术全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德怀特-霍华德,48:45,5,12,.417,0,0,0,6,14,.429,6,15,21,2,0,9,7,4,16,-11
拉沙德-刘易斯,45:32,2,10,.200,2,6,.333,0,0,0,0,7,7,4,2,0,3,2,6,-13
希度-特科格鲁,40:58,8,13,.615,1,3,.333,8,13,.615,0,5,5,3,1,0,1,4,25,-2
拉夫-阿尔斯通,27:13,5,13,.385,1,4,.250,0,0,0,0,1,1,2,1,0,1,2,11,-9
考特尼-李,7:08,1,4,.250,1,4,.250,1,2,.500,0,0,0,0,0,0,1,2,4,-9
迈克尔-皮特鲁斯,36:36,4,8,.500,1,2,.500,6,7,.857,0,2,2,0,0,0,1,3,15,-3
贾米尔-尼尔森,25:47,1,3,.333,0,0,0,0,0,0,1,2,3,3,0,0,1,2,2,+1
JJ-雷迪克,17:06,2,6,.333,1,2,.500,1,1,1.0,0,0,0,3,0,0,0,0,6,-4
托尼-巴蒂,11:40,1,3,.333,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,+7
马尔钦-戈塔特,4:15,2,2,1.0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,4,+3
阿多纳尔-福耶尔,未上场,,,,,,,,,,,,,,,,,,,
安东尼-约翰逊,未上场,,,,,,,,,,,,,,,,,,,
