比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2005总决赛G2：活塞76-97马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2005年06月12日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：底特律活塞,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, 伯尼尔-弗莱尔, Jack Nies",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
活塞全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
昌西-比卢普斯,39:17,6,14,.429,0,3,.0,1,1,1.0,1,4,5,3,0,0,4,3,13,-21
理查德-汉密尔顿,35:05,5,15,.333,0,0,0,4,5,.800,2,5,7,3,1,0,0,4,14,-18
本-华莱士,34:33,4,6,.667,0,0,0,1,3,.333,4,4,8,2,0,1,3,3,9,-17
拉希德-华莱士,33:37,5,12,.417,0,2,.0,1,2,.500,3,5,8,4,2,0,1,5,11,-9
泰肖恩-普林斯,32:27,1,7,.143,0,0,0,1,1,1.0,1,2,3,0,0,1,1,4,3,-19
安东尼奥-麦克戴斯,24:02,7,14,.500,0,0,0,1,2,.500,3,4,7,2,1,0,2,4,15,-13
林奇-亨特,24:02,3,7,.429,0,1,.0,1,2,.500,2,2,4,3,1,0,1,1,7,0
卡洛斯-阿罗约,7:44,2,3,.667,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,-3
罗纳德-杜普里,3:26,0,2,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
达科-米利西奇,3:26,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
达尔文-哈姆,2:22,0,1,.0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,-5
埃尔登-坎贝尔,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
蒂姆-邓肯,36:09,5,10,.500,0,0,0,8,9,.889,3,8,11,1,0,4,2,2,18,+20
布鲁斯-鲍文,35:47,5,13,.385,4,8,.500,1,2,.500,0,3,3,1,1,0,1,3,15,+19
马努-吉诺比利,32:28,6,8,.750,4,5,.800,11,13,.846,1,2,3,7,3,0,3,3,27,+25
托尼-帕克,28:06,6,9,.667,0,1,.0,0,1,.0,0,1,1,2,0,0,0,5,12,+10
纳兹尔-穆罕默德,25:49,1,2,.500,0,0,0,4,5,.800,3,2,5,0,0,2,2,2,6,+7
罗伯特-霍里,28:18,4,10,.400,2,6,.333,2,2,1.0,1,5,6,5,4,1,2,2,12,+16
布伦特-巴里,25:29,0,3,.0,0,3,.0,0,0,0,0,1,1,5,2,0,2,1,0,-1
本诺-尤德里,17:54,2,4,.500,1,1,1.0,2,2,1.0,0,2,2,2,1,0,2,0,7,+11
拉苏-内斯特洛维奇,3:26,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0
格伦-罗宾逊,2:19,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
德文-布朗,2:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
托尼-马森博格,2:01,0,2,.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
