比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2005总决赛G4：马刺71-102活塞,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2005年06月16日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：底特律活塞/客队：圣安东尼奥马刺,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, Joe DeRosa, Eddie F. Rush",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
蒂姆-邓肯,38:42,5,17,.294,0,0,0,6,9,.667,3,13,16,2,0,3,3,2,16,-20
托尼-帕克,35:47,6,13,.462,0,1,.0,0,2,.0,0,4,4,4,0,1,3,2,12,-11
布鲁斯-鲍文,32:42,2,3,.667,0,0,0,2,2,1.0,1,2,3,4,0,2,3,4,6,-27
马努-吉诺比利,32:28,4,9,.444,1,5,.200,3,4,.750,0,4,4,3,1,1,2,3,12,-12
纳兹尔-穆罕默德,17:03,2,6,.333,0,0,0,0,0,0,3,2,5,0,0,0,1,2,4,-4
罗伯特-霍里,21:04,2,6,.333,1,3,.333,0,0,0,3,1,4,0,0,1,1,1,5,-17
德文-布朗,19:23,2,8,.250,1,2,.500,3,5,.600,1,2,3,2,0,0,0,1,8,-12
拉苏-内斯特洛维奇,13:34,0,0,0,0,0,0,0,2,.0,0,2,2,0,0,1,1,1,0,-13
本诺-尤德里,12:13,2,5,.400,1,2,.500,0,0,0,0,0,0,0,0,0,2,2,5,-20
布伦特-巴里,11:27,1,2,.500,1,2,.500,0,0,0,1,0,1,0,0,0,1,2,3,-11
托尼-马森博格,5:37,0,1,.0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,-8
格伦-罗宾逊,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
活塞全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
本-华莱士,38:44,5,11,.455,0,0,0,1,4,.250,5,8,13,1,3,3,0,3,11,+12
昌西-比卢普斯,38:09,5,14,.357,0,4,.0,7,7,1.0,0,5,5,7,2,0,1,1,17,+19
理查德-汉密尔顿,37:34,4,16,.250,0,1,.0,4,4,1.0,2,7,9,4,1,0,1,4,12,+24
泰肖恩-普林斯,35:49,6,14,.429,0,2,.0,1,1,1.0,2,0,2,1,2,0,0,2,13,+26
拉希德-华莱士,33:05,6,10,.600,2,2,1.0,0,1,.0,2,6,8,2,2,2,0,3,14,+34
林奇-亨特,22:19,7,10,.700,0,0,0,3,3,1.0,0,1,1,5,2,0,0,4,17,+14
安东尼奥-麦克戴斯,18:54,6,11,.545,0,0,0,1,1,1.0,2,5,7,1,1,1,1,4,13,+2
卡洛斯-阿罗约,7:53,1,3,.333,0,0,0,1,2,.500,0,0,0,2,0,0,0,0,3,+8
达尔文-哈姆,2:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,+6
达科-米利西奇,2:21,1,1,1.0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,+5
罗纳德-杜普里,2:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+5
埃尔登-坎贝尔,未上场,,,,,,,,,,,,,,,,,,,
