比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2005总决赛G6：活塞95-86马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G6,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2005年06月21日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：底特律活塞,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, 伯尼尔-弗莱尔, Bennett Salvatore",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
活塞全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
本-华莱士,44:31,4,6,.667,0,0,0,0,2,.0,3,6,9,0,2,3,0,2,8,+12
理查德-汉密尔顿,43:49,9,19,.474,1,1,1.0,4,5,.800,1,4,5,3,0,0,2,0,23,+9
泰肖恩-普林斯,43:28,5,10,.500,0,2,.0,3,4,.750,3,4,7,4,1,1,0,3,13,+13
昌西-比卢普斯,39:29,6,16,.375,5,9,.556,4,4,1.0,2,4,6,6,0,0,0,4,21,+7
拉希德-华莱士,23:19,7,15,.467,2,5,.400,0,1,.0,1,2,3,3,2,3,1,5,16,+8
安东尼奥-麦克戴斯,28:10,4,10,.400,0,0,0,2,3,.667,2,6,8,1,0,1,2,4,10,-2
林奇-亨特,15:56,2,3,.667,0,0,0,0,0,0,1,1,2,2,1,0,0,3,4,-1
卡洛斯-阿罗约,1:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
埃尔登-坎贝尔,未上场,,,,,,,,,,,,,,,,,,,
罗纳德-杜普里,未上场,,,,,,,,,,,,,,,,,,,
达尔文-哈姆,未上场,,,,,,,,,,,,,,,,,,,
达科-米利西奇,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
布鲁斯-鲍文,41:11,2,8,.250,2,6,.333,0,0,0,0,2,2,1,0,0,1,2,6,-7
蒂姆-邓肯,40:35,8,14,.571,0,0,0,5,10,.500,5,10,15,1,0,1,0,2,21,-1
马努-吉诺比利,39:28,7,17,.412,2,8,.250,5,8,.625,1,9,10,3,2,0,3,3,21,-13
托尼-帕克,37:46,7,15,.467,1,3,.333,0,1,.0,0,2,2,5,0,0,4,4,15,-1
纳兹尔-穆罕默德,24:37,1,3,.333,0,0,0,2,2,1.0,5,3,8,0,0,0,1,1,4,-5
罗伯特-霍里,30:48,3,6,.500,2,5,.400,0,0,0,1,3,4,2,1,1,1,4,8,-12
布伦特-巴里,24:24,3,10,.300,1,5,.200,4,5,.800,1,1,2,3,0,0,1,2,11,-7
本诺-尤德里,1:11,0,2,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,+1
德文-布朗,未上场,,,,,,,,,,,,,,,,,,,
托尼-马森博格,未上场,,,,,,,,,,,,,,,,,,,
拉苏-内斯特洛维奇,未上场,,,,,,,,,,,,,,,,,,,
格伦-罗宾逊,未上场,,,,,,,,,,,,,,,,,,,
