比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2004总决赛G2：活塞91-99湖人(1加时),,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2004年06月8日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：洛杉矶湖人/客队：底特律活塞,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Joe DeRosa, Steve Javie, Bennett Salvatore",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
活塞全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
昌西-比卢普斯,47:23,6,15,.400,2,2,1.0,13,14,.929,2,2,4,9,0,0,3,1,27,-1
理查德-汉密尔顿,47:13,10,25,.400,2,2,1.0,4,5,.800,5,3,8,2,0,0,5,2,26,-8
泰肖恩-普林斯,46:45,2,6,.333,1,2,.500,0,0,0,4,1,5,0,3,2,0,2,5,0
本-华莱士,44:03,5,11,.455,0,0,0,2,8,.250,4,10,14,1,2,2,0,5,12,-1
拉希德-华莱士,34:24,5,14,.357,0,3,.0,1,2,.500,1,6,7,3,0,2,0,4,11,-2
梅米特-奥库,17:26,0,2,.0,0,0,0,1,2,.500,0,2,2,1,0,0,3,2,1,-6
林奇-亨特,11:33,2,4,.500,1,3,.333,0,0,0,0,0,0,2,1,0,0,1,5,-7
埃尔登-坎贝尔,8:56,1,2,.500,0,0,0,0,0,0,2,2,4,1,0,0,1,4,2,-4
科利斯-威廉森,6:48,1,2,.500,0,0,0,0,0,0,1,1,2,0,0,0,2,2,2,-8
麦克-詹姆斯,0:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
达尔文-哈姆,未上场,,,,,,,,,,,,,,,,,,,
达科-米利西奇,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科比-布莱恩特,48:44,14,27,.519,1,5,.200,4,5,.800,0,4,4,7,2,0,5,5,33,+7
Shaquille O'Neal,47:17,10,20,.500,0,0,0,9,14,.643,3,4,7,3,0,1,3,5,29,+16
卡尔-马龙,39:55,3,9,.333,0,1,.0,3,4,.750,3,6,9,2,1,0,1,3,9,+4
加里-佩顿,28:13,1,3,.333,0,1,.0,0,0,0,1,2,3,3,1,0,3,4,2,0
德文-乔治,21:52,3,7,.429,1,3,.333,0,0,0,0,2,2,1,1,0,0,2,7,-7
卢克-沃顿,28:17,3,3,1.0,1,1,1.0,0,0,0,1,4,5,8,0,2,0,3,7,+18
德里克-费舍尔,24:42,2,6,.333,2,4,.500,1,2,.500,0,3,3,2,2,0,0,4,7,+8
卡里姆-拉什,16:59,2,4,.500,1,2,.500,0,0,0,0,2,2,2,0,0,1,0,5,-2
斯坦尼斯拉夫-梅德维登科,7:36,0,1,.0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,0,-3
布莱恩-库克,1:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
里克-福克斯,未上场,,,,,,,,,,,,,,,,,,,
布莱恩-拉塞尔,未上场,,,,,,,,,,,,,,,,,,,
