比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2011总决赛G1：小牛84-92热火,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2011年05月31日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：迈阿密热火/客队：达拉斯独行侠,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Mike Callahan, Steve Javie, Bill Kennedy",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：罗德里格-布博瓦,卡隆-巴特勒,多米尼克-琼斯",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：扎诸纳斯-伊尔戈斯卡斯,贾马尔-马格洛伊尔,德克斯特-皮特曼",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
独行侠全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德克-诺维茨基,40:27,7,18,.389,1,2,.500,12,12,1.0,0,8,8,2,0,0,2,4,27,-2
杰森-基德,36:25,3,8,.375,3,7,.429,0,0,0,0,4,4,6,0,1,3,0,9,-7
肖恩-马里昂,35:20,6,12,.500,0,0,0,4,5,.800,3,7,10,4,1,1,3,1,16,-9
泰森-钱德勒,33:47,3,4,.750,0,0,0,3,5,.600,0,4,4,2,1,2,2,5,9,-2
德肖恩-史蒂文森,14:26,2,3,.667,2,3,.667,0,0,0,0,2,2,0,0,1,0,2,6,-5
杰森-特里,32:30,3,10,.300,3,7,.429,3,4,.750,1,0,1,1,0,0,1,2,12,0
J.J. Barea,18:09,1,8,.125,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,-6
佩贾-斯托亚科维奇,14:43,0,3,.0,0,3,.0,0,0,0,0,0,0,0,2,0,0,3,0,-3
布兰登-海伍德,14:13,0,1,.0,0,0,0,3,6,.500,2,5,7,0,1,3,0,3,3,-6
科里-布鲁尔,未上场,,,,,,,,,,,,,,,,,,,
布莱恩-卡迪纳尔,未上场,,,,,,,,,,,,,,,,,,,
伊安-马辛米,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,45:15,9,16,.563,4,5,.800,2,2,1.0,0,9,9,5,1,0,1,4,24,+9
克里斯-波什,38:55,5,18,.278,0,0,0,9,12,.750,5,4,9,3,0,1,0,3,19,+11
德维恩-韦德,38:05,9,19,.474,2,4,.500,2,5,.400,3,7,10,6,0,2,3,1,22,+7
乔尔-安东尼,17:52,0,1,.0,0,0,0,0,0,0,1,2,3,0,0,1,1,2,0,-5
迈克-毕比,14:06,0,4,.0,0,4,.0,0,0,0,0,0,0,3,2,0,0,1,0,-2
犹多尼斯-哈斯勒姆,29:34,3,8,.375,0,0,0,1,1,1.0,1,5,6,1,1,0,2,5,7,+7
马里奥-查默斯,28:24,3,8,.375,3,7,.429,3,4,.750,1,0,1,1,1,0,2,1,12,+8
迈克-米勒,20:12,2,5,.400,2,4,.500,0,0,0,2,3,5,1,0,0,1,4,6,+2
朱万-霍华德,7:37,0,1,.0,0,0,0,2,2,1.0,3,0,3,0,0,0,0,0,2,+3
埃里克-丹皮尔,未上场,,,,,,,,,,,,,,,,,,,
埃迪-豪斯,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
