比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2011总决赛G4：热火83-86小牛,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2011年06月7日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：达拉斯独行侠/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Marc Davis, Monty McCutchen, Greg Willard",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：扎诸纳斯-伊尔戈斯卡斯,贾马尔-马格洛伊尔,德克斯特-皮特曼",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：罗德里格-布博瓦,卡隆-巴特勒,多米尼克-琼斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,45:43,3,11,.273,0,3,.0,2,4,.500,3,6,9,7,2,0,4,4,8,-6
克里斯-波什,42:08,9,19,.474,0,0,0,6,8,.750,1,5,6,1,0,1,4,1,24,-2
德维恩-韦德,39:26,13,20,.650,0,2,.0,6,9,.667,4,2,6,2,2,2,2,3,32,-7
乔尔-安东尼,28:25,2,6,.333,0,0,0,0,0,0,5,3,8,1,0,1,0,4,4,-8
迈克-毕比,16:12,0,1,.0,0,1,.0,0,0,0,1,1,2,1,0,0,0,3,0,-4
马里奥-查默斯,29:28,1,5,.200,0,3,.0,3,3,1.0,0,4,4,6,3,0,2,2,5,+3
犹多尼斯-哈斯勒姆,21:24,2,5,.400,0,0,0,0,0,0,0,4,4,0,0,1,0,3,4,+4
迈克-米勒,14:34,2,8,.250,2,5,.400,0,0,0,1,2,3,1,1,0,1,2,6,+2
朱万-霍华德,2:40,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,+3
埃里克-丹皮尔,未上场,,,,,,,,,,,,,,,,,,,
埃迪-豪斯,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
独行侠全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
泰森-钱德勒,42:56,4,7,.571,0,0,0,5,8,.625,9,7,16,1,1,0,0,3,13,+7
德克-诺维茨基,39:09,6,19,.316,0,2,.0,9,10,.900,0,11,11,1,0,0,3,2,21,+7
杰森-基德,38:58,0,3,.0,0,3,.0,0,0,0,0,3,3,3,3,1,4,1,0,+12
肖恩-马里昂,25:45,7,12,.583,0,0,0,2,2,1.0,2,2,4,0,0,1,2,2,16,-2
J.J. Barea,21:38,3,9,.333,0,2,.0,2,2,1.0,1,2,3,4,0,0,1,2,8,-7
杰森-特里,35:24,6,15,.400,1,4,.250,4,6,.667,0,0,0,3,3,0,0,2,17,+1
德肖恩-史蒂文森,25:38,3,7,.429,3,7,.429,2,2,1.0,0,3,3,1,0,0,0,3,11,+6
布莱恩-卡迪纳尔,7:25,0,1,.0,0,1,.0,0,0,0,0,1,1,0,0,0,1,2,0,-1
布兰登-海伍德,3:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10
佩贾-斯托亚科维奇,0:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2
科里-布鲁尔,未上场,,,,,,,,,,,,,,,,,,,
伊安-马辛米,未上场,,,,,,,,,,,,,,,,,,,
