比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2011总决赛G6：小牛105-95热火,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G6,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2011年06月12日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：迈阿密热火/客队：达拉斯独行侠,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Scott Foster, Steve Javie, Derrick Stafford",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：罗德里格-布博瓦,卡隆-巴特勒,多米尼克-琼斯",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：扎诸纳斯-伊尔戈斯卡斯,贾马尔-马格洛伊尔,德克斯特-皮特曼",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
独行侠全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德克-诺维茨基,38:54,9,27,.333,1,7,.143,2,2,1.0,0,11,11,1,2,0,2,4,21,-4
杰森-基德,36:17,2,4,.500,2,3,.667,3,4,.750,0,4,4,8,0,1,2,1,9,+18
肖恩-马里昂,35:22,4,10,.400,0,0,0,4,6,.667,3,5,8,1,1,0,2,3,12,+18
泰森-钱德勒,30:03,2,4,.500,0,0,0,1,2,.500,2,6,8,1,2,0,1,5,5,+3
J.J. Barea,29:37,7,12,.583,1,3,.333,0,0,0,2,1,3,5,2,0,3,3,15,-7
杰森-特里,33:56,11,16,.688,3,7,.429,2,4,.500,1,2,3,2,2,0,3,1,27,+13
德肖恩-史蒂文森,12:38,3,5,.600,3,5,.600,0,0,0,0,0,0,0,1,0,0,0,9,-8
布莱恩-卡迪纳尔,12:12,1,1,1.0,1,1,1.0,0,0,0,0,0,0,1,0,0,1,2,3,+18
伊安-马辛米,11:02,2,3,.667,0,0,0,0,0,0,2,1,3,0,1,0,0,5,4,-1
科里-布鲁尔,未上场,,,,,,,,,,,,,,,,,,,
布兰登-海伍德,未上场,,,,,,,,,,,,,,,,,,,
佩贾-斯托亚科维奇,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德维恩-韦德,41:07,6,16,.375,0,4,.0,5,7,.714,3,5,8,6,1,2,5,3,17,+3
勒布朗-詹姆斯,40:21,9,15,.600,2,5,.400,1,4,.250,1,3,4,6,1,1,6,2,21,-24
克里斯-波什,38:52,7,9,.778,0,0,0,5,7,.714,0,8,8,0,0,0,1,1,19,+4
马里奥-查默斯,38:31,5,12,.417,2,7,.286,6,9,.667,0,3,3,7,4,0,3,2,18,+5
乔尔-安东尼,10:55,0,2,.0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,-3
犹多尼斯-哈斯勒姆,33:51,4,9,.444,0,0,0,3,4,.750,3,6,9,0,0,0,0,3,11,-7
埃迪-豪斯,21:08,3,7,.429,3,6,.500,0,0,0,0,3,3,1,1,0,0,3,9,-1
迈克-米勒,8:17,0,1,.0,0,1,.0,0,0,0,0,1,1,0,0,0,0,0,0,-16
朱万-霍华德,6:58,0,1,.0,0,0,0,0,2,.0,0,0,0,0,0,0,1,0,0,-11
迈克-毕比,未上场,,,,,,,,,,,,,,,,,,,
埃里克-丹皮尔,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
