比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2011总决赛G3：热火88-86小牛,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2011年06月5日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：达拉斯独行侠/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, Scott Foster, Derrick Stafford",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：扎诸纳斯-伊尔戈斯卡斯,贾马尔-马格洛伊尔,德克斯特-皮特曼",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：卡隆-巴特勒,布兰登-海伍德,多米尼克-琼斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,45:15,6,14,.429,1,4,.250,4,4,1.0,0,3,3,9,2,0,4,3,17,+1
德维恩-韦德,38:38,12,21,.571,2,4,.500,3,4,.750,3,8,11,3,1,1,0,3,29,-1
克里斯-波什,37:29,7,18,.389,0,0,0,4,5,.800,1,2,3,1,0,0,2,4,18,-10
乔尔-安东尼,23:05,1,4,.250,0,0,0,0,0,0,4,2,6,1,1,2,0,2,2,+3
迈克-毕比,19:07,1,5,.200,1,4,.250,0,0,0,0,2,2,1,1,1,1,4,3,-4
犹多尼斯-哈斯勒姆,29:01,3,7,.429,0,0,0,0,0,0,1,3,4,1,1,1,1,4,6,+5
马里奥-查默斯,28:50,4,8,.500,4,6,.667,0,0,0,0,4,4,2,0,0,1,3,12,+6
迈克-米勒,12:10,0,1,.0,0,1,.0,0,0,0,0,2,2,1,2,0,1,3,0,+4
朱万-霍华德,6:25,0,0,0,0,0,0,1,2,.500,0,1,1,1,0,0,0,1,1,+6
埃里克-丹皮尔,未上场,,,,,,,,,,,,,,,,,,,
埃迪-豪斯,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
独行侠全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
肖恩-马里昂,43:08,4,12,.333,0,1,.0,2,2,1.0,2,2,4,3,0,1,2,2,10,-1
德克-诺维茨基,41:58,11,21,.524,3,5,.600,9,9,1.0,1,10,11,1,1,3,3,1,34,+12
泰森-钱德勒,40:00,1,4,.250,0,0,0,3,4,.750,7,4,11,0,1,3,0,2,5,+4
杰森-基德,35:27,3,8,.375,2,5,.400,1,2,.500,1,5,6,10,0,1,4,2,9,+5
德肖恩-史蒂文森,14:12,1,1,1.0,1,1,1.0,0,0,0,0,1,1,1,0,0,0,0,3,-7
杰森-特里,32:03,5,13,.385,1,3,.333,4,6,.667,0,3,3,2,1,0,0,0,15,-6
J.J. Barea,19:02,2,8,.250,1,5,.200,1,2,.500,0,2,2,1,0,0,4,1,6,+3
伊安-马辛米,8:00,0,1,.0,0,0,0,2,2,1.0,1,0,1,0,0,0,0,5,2,-6
佩贾-斯托亚科维奇,6:04,1,2,.500,0,1,.0,0,0,0,0,3,3,0,0,0,1,1,2,-11
布莱恩-卡迪纳尔,0:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
罗德里格-布博瓦,未上场,,,,,,,,,,,,,,,,,,,
科里-布鲁尔,未上场,,,,,,,,,,,,,,,,,,,
