比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2019总决赛G2：勇士109-104猛龙,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2019年06月2日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：多伦多猛龙/客队：金州勇士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Tony Brothers, Scott Foster, Ed Malloy",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：凯文-杜兰特,达米安-琼斯",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：马尔科姆-米勒,埃里克-莫兰",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
斯蒂芬-库里,40:40,6,17,.353,3,10,.300,8,9,.889,0,3,3,4,3,0,1,3,23,+12
德雷蒙德-格林,40:36,6,12,.500,0,2,.0,5,6,.833,2,8,10,9,2,1,5,4,17,+12
克莱-汤普森,32:08,10,17,.588,4,6,.667,1,2,.500,0,5,5,5,1,0,1,3,25,+7
安德烈-伊格达拉,28:04,3,8,.375,2,4,.500,0,0,0,1,7,8,6,1,1,2,0,8,+6
德马库斯-考辛斯,27:38,3,8,.375,1,3,.333,4,4,1.0,1,9,10,6,0,2,3,5,11,+12
奎因-库克,21:13,3,6,.500,3,5,.600,0,0,0,0,1,1,0,0,1,0,3,9,-7
肖恩-利文斯顿,16:05,2,4,.500,0,0,0,2,2,1.0,0,0,0,3,0,0,1,0,6,-2
凯文-卢尼,10:23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,+2
阿方索-麦金尼,9:47,1,3,.333,0,2,.0,0,0,0,1,0,1,1,0,0,1,2,2,-2
安德鲁-博古特,7:09,3,3,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,6,-6
约纳斯-杰雷布科,6:04,1,4,.250,0,2,.0,0,0,0,1,1,2,0,0,0,0,1,2,-9
乔丹-贝尔,0:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雅各布-埃文斯,0:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
猛龙全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
帕斯卡尔-西亚卡姆,40:56,5,18,.278,0,3,.0,2,4,.500,3,5,8,5,0,0,0,4,12,-4
科怀-伦纳德,38:43,8,20,.400,2,9,.222,16,16,1.0,5,9,14,3,1,1,5,1,34,-14
马克-加索尔,31:29,2,7,.286,0,2,.0,2,2,1.0,0,6,6,2,0,1,2,4,6,-6
凯尔-洛瑞,27:41,4,11,.364,3,7,.429,2,3,.667,0,1,1,2,1,0,2,6,13,-17
丹尼-格林,25:39,3,7,.429,2,5,.400,0,0,0,2,3,5,1,0,0,3,2,8,-3
弗雷德-范弗利特,38:08,7,17,.412,2,8,.250,1,1,1.0,2,2,4,2,3,0,2,2,17,+3
诺曼-鲍威尔,21:07,3,7,.429,1,3,.333,0,0,0,0,1,1,2,1,0,1,0,7,+13
赛尔吉-伊巴卡,16:17,3,7,.429,1,1,1.0,0,0,0,3,7,10,0,2,0,0,3,7,+3
OG-阿奴诺比,未上场,,,,,,,,,,,,,,,,,,,
克里斯-布歇,未上场,,,,,,,,,,,,,,,,,,,
林书豪,未上场,,,,,,,,,,,,,,,,,,,
帕特里克-麦考,未上场,,,,,,,,,,,,,,,,,,,
约迪-米克斯,未上场,,,,,,,,,,,,,,,,,,,
