比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2019总决赛G5：勇士106-105猛龙,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2019年06月10日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：多伦多猛龙/客队：金州勇士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：James Capers Jr., Ed Malloy, Jason Phillips",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：雅各布-埃文斯,达米安-琼斯",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：马尔科姆-米勒,埃里克-莫兰",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
克莱-汤普森,42:29,9,21,.429,7,13,.538,1,2,.500,0,6,6,4,1,0,1,3,26,-6
斯蒂芬-库里,41:11,10,23,.435,5,14,.357,6,6,1.0,2,6,8,7,0,0,4,0,31,-2
德雷蒙德-格林,41:11,4,9,.444,2,4,.500,0,0,0,2,8,10,8,1,1,2,5,10,-2
安德烈-伊格达拉,30:28,2,7,.286,1,3,.333,0,0,0,0,1,1,3,1,4,2,3,5,+3
凯文-杜兰特,11:57,3,5,.600,3,3,1.0,2,2,1.0,0,2,2,0,0,1,1,2,11,+6
德马库斯-考辛斯,19:32,6,8,.750,1,3,.333,1,4,.250,1,5,6,1,1,1,2,4,14,-4
凯文-卢尼,17:49,2,4,.500,0,0,0,0,0,0,1,2,3,0,0,0,1,2,4,+4
肖恩-利文斯顿,15:32,0,2,.0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,+2
奎因-库克,11:35,1,2,.500,1,2,.500,0,0,0,0,1,1,2,0,0,0,0,3,+4
乔丹-贝尔,4:01,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3
安德鲁-博古特,2:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
阿方索-麦金尼,2:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+5
约纳斯-杰雷布科,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
猛龙全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
凯尔-洛瑞,42:13,8,16,.500,1,6,.167,1,2,.500,1,3,4,6,1,2,2,4,18,+4
科怀-伦纳德,41:24,9,24,.375,2,7,.286,6,8,.750,6,6,12,6,2,2,5,0,26,+1
帕斯卡尔-西亚卡姆,33:54,6,15,.400,0,4,.0,0,1,.0,1,3,4,2,1,0,2,2,12,-5
丹尼-格林,33:15,2,7,.286,0,4,.0,0,0,0,3,2,5,0,1,0,1,1,4,+5
马克-加索尔,31:02,4,6,.667,2,3,.667,7,8,.875,0,8,8,2,0,0,1,5,17,+4
弗雷德-范弗利特,27:19,3,7,.429,3,6,.500,2,2,1.0,0,2,2,1,0,0,0,3,11,-12
赛尔吉-伊巴卡,16:58,5,8,.625,0,1,.0,5,6,.833,2,4,6,1,1,1,2,4,15,-5
诺曼-鲍威尔,12:27,1,2,.500,0,1,.0,0,0,0,0,2,2,1,0,0,0,0,2,+6
帕特里克-麦考,1:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
OG-阿奴诺比,未上场,,,,,,,,,,,,,,,,,,,
克里斯-布歇,未上场,,,,,,,,,,,,,,,,,,,
林书豪,未上场,,,,,,,,,,,,,,,,,,,
约迪-米克斯,未上场,,,,,,,,,,,,,,,,,,,
