比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1997总决赛G1：爵士82-84公牛,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1997年06月1日 June 1,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：芝加哥公牛/客队：犹他爵士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, Bill Oakes, Ed T. Rush",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
爵士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
卡尔-马龙,41:02,10,22,.455,0,0,0,3,6,.500,5,10,15,3,0,0,3,1,23,-5
布莱恩-拉塞尔,40:19,2,9,.222,1,3,.333,2,2,1.0,1,5,6,1,2,0,1,2,7,-3
约翰-斯托克顿,38:05,6,10,.600,2,4,.500,2,3,.667,1,2,3,12,3,0,7,2,16,-3
杰夫-霍纳塞克,32:05,5,9,.556,1,1,1.0,0,0,0,0,3,3,1,0,0,0,3,11,-3
格雷格-奥斯特塔格,17:50,1,4,.250,0,0,0,0,0,0,3,4,7,0,2,0,2,3,2,-1
安托万-卡尔,20:16,3,8,.375,0,0,0,0,0,0,2,5,7,1,0,0,1,4,6,+2
山顿-安德森,18:21,1,3,.333,0,1,.0,0,0,0,0,2,2,1,0,0,2,2,2,+1
格雷格-福斯特,16:52,3,4,.750,0,1,.0,0,0,0,0,0,0,0,0,0,0,2,6,0
霍华德-埃斯利,9:55,4,5,.800,1,1,1.0,0,0,0,0,0,0,1,0,0,2,3,9,+1
克里斯-莫里斯,5:15,0,2,.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+1
斯蒂芬-霍华德,未上场,,,,,,,,,,,,,,,,,,,
亚当-基夫,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
斯科蒂-皮蓬,42:46,11,19,.579,3,7,.429,2,2,1.0,2,7,9,2,3,4,6,2,27,+3
迈克尔-乔丹,40:52,13,27,.481,0,0,0,5,7,.714,1,3,4,8,0,1,0,3,31,+3
丹尼斯-罗德曼,33:15,2,7,.286,0,2,.0,0,2,.0,4,8,12,1,2,0,2,4,4,-2
罗恩-哈珀,29:09,1,6,.167,1,3,.333,1,2,.500,2,4,6,3,1,1,1,0,4,+4
卢克-朗利,28:24,3,6,.500,0,0,0,0,0,0,0,2,2,3,2,1,2,2,6,+8
托尼-库科奇,21:59,2,6,.333,2,3,.667,0,0,0,0,1,1,3,0,0,0,0,6,+3
毕森-德勒,15:01,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,0,-7
尤德-比希勒,11:37,1,2,.500,0,1,.0,0,0,0,1,0,1,1,0,0,1,1,2,0
兰迪-布朗,10:01,1,3,.333,0,0,0,2,2,1.0,0,0,0,0,1,0,0,2,4,-6
史蒂夫-科尔,6:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,+4
贾森-卡菲,未上场,,,,,,,,,,,,,,,,,,,
罗伯特-帕里什,未上场,,,,,,,,,,,,,,,,,,,
