比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1995总决赛G3：魔术103-106火箭,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1995年06月11日 June 11,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：休士顿火箭/客队：奥兰多魔术,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Hugh Evans, Mike Mathis, Bennett Salvatore",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
魔术全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
Shaquille O'Neal,45:00,11,17,.647,0,0,0,6,11,.545,2,8,10,6,1,3,4,3,28,
安芬尼-哈达威,41:00,4,10,.400,1,4,.250,10,11,.909,1,3,4,14,1,2,3,4,19,
霍雷斯-格兰特,40:00,9,13,.692,0,0,0,0,0,0,3,7,10,1,1,1,3,3,18,
丹尼斯-斯科特,39:00,2,11,.182,1,9,.111,3,3,1.0,1,5,6,0,1,0,1,5,8,
尼可-安德森,37:00,4,14,.286,4,12,.333,0,0,0,0,10,10,3,0,0,0,3,12,
布莱恩-肖,20:00,6,12,.500,2,5,.400,0,0,0,0,1,1,3,0,0,1,3,14,
杰夫-特纳,11:00,0,1,.0,0,1,.0,0,0,0,0,0,0,1,0,0,0,1,0,
安东尼-鲍伊,7:00,2,3,.667,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,
,,,,,,,,,,,,,,,,,,,,
火箭全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
罗伯特-霍里,46:00,6,11,.545,2,5,.400,6,8,.750,2,7,9,4,1,2,2,2,20,
哈基姆-奥拉朱旺,45:00,14,30,.467,0,0,0,3,5,.600,4,10,14,7,2,0,1,4,31,
克莱德-德雷克斯勒,41:00,9,18,.500,1,3,.333,6,10,.600,5,8,13,7,0,0,2,4,25,
马里奥-艾利,38:00,6,9,.667,3,4,.750,2,2,1.0,0,2,2,3,0,0,1,2,17,
肯尼-史密斯,22:00,1,7,.143,0,4,.0,0,0,0,0,2,2,3,1,0,0,2,2,
萨姆-卡塞尔,26:00,3,9,.333,1,3,.333,2,3,.667,0,2,2,4,3,0,2,2,9,
查尔斯-琼斯,12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,
查基-布朗,9:00,0,0,0,0,0,0,2,2,1.0,0,4,4,0,0,0,0,1,2,
皮特-奇尔卡特,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
