比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1995总决赛G4：魔术101-113火箭,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1995年06月14日 June 14,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：休士顿火箭/客队：奥兰多魔术,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：乔-克劳福德, Jess Kersey, Bill Oakes",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
魔术全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
Shaquille O'Neal,46:00,11,19,.579,0,0,0,3,8,.375,3,9,12,3,0,4,6,5,25,
安芬尼-哈达威,42:00,8,14,.571,5,8,.625,4,4,1.0,1,5,6,5,1,0,4,5,25,
霍雷斯-格兰特,41:00,5,12,.417,0,0,0,1,2,.500,4,8,12,2,1,0,2,3,11,
丹尼斯-斯科特,38:00,5,11,.455,2,6,.333,2,2,1.0,0,1,1,3,2,1,4,1,14,
尼可-安德森,31:00,1,5,.200,1,4,.250,1,2,.500,2,5,7,4,3,0,0,4,4,
布莱恩-肖,23:00,6,15,.400,5,11,.455,0,0,0,1,3,4,4,0,1,3,5,17,
安东尼-鲍伊,12:00,2,4,.500,1,2,.500,0,0,0,0,1,1,3,0,1,0,3,5,
杰夫-特纳,7:00,0,1,.0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
火箭全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
罗伯特-霍里,46:00,6,14,.429,4,9,.444,5,9,.556,5,8,13,5,1,0,2,2,21,
哈基姆-奥拉朱旺,44:00,15,30,.500,1,1,1.0,4,5,.800,3,12,15,6,3,0,4,4,35,
马里奥-艾利,43:00,9,11,.818,4,6,.667,0,0,0,0,3,3,2,4,0,2,3,22,
克莱德-德雷克斯勒,41:00,4,13,.308,0,4,.0,7,8,.875,3,6,9,8,2,0,2,3,15,
肯尼-史密斯,22:00,2,7,.286,1,3,.333,0,0,0,2,0,2,3,0,0,0,1,5,
萨姆-卡塞尔,26:00,3,11,.273,1,4,.250,6,7,.857,1,2,3,4,1,0,0,1,13,
查尔斯-琼斯,15:00,1,1,1.0,0,0,0,0,0,0,1,2,3,0,0,0,0,4,2,
查基-布朗,3:00,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
