比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2003总决赛G6：新泽西网队77-88马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G6,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2003年06月15日 8:30,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：新泽西网队,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, Bob Delaney, Ron Garretson",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
新泽西网队全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
杰森-基德,41:46,8,20,.400,3,9,.333,2,2,1.0,2,2,4,7,1,0,0,4,21,-15
理查德-杰弗森,41:37,6,15,.400,0,1,.0,1,1,1.0,2,5,7,2,0,0,3,5,13,-1
肯扬-马丁,38:46,3,23,.130,0,2,.0,0,0,0,0,10,10,1,1,2,2,3,6,-8
科瑞-基德尔斯,33:43,5,12,.417,2,6,.333,4,4,1.0,0,4,4,2,3,0,0,2,16,-3
杰森-科林斯,25:18,2,5,.400,0,0,0,0,0,0,0,3,3,0,1,1,1,4,4,+7
阿龙-威廉姆斯,16:23,2,4,.500,0,0,0,0,0,0,1,0,1,2,1,1,1,4,4,-11
鲁西奥斯-哈里斯,15:19,0,1,.0,0,1,.0,2,4,.500,1,1,2,0,0,0,1,1,2,-8
迪肯贝-穆托姆博,9:47,1,1,1.0,0,0,0,2,2,1.0,2,1,3,0,0,1,1,1,4,-11
罗德尼-罗杰斯,8:05,1,2,.500,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,3,-9
安东尼-约翰逊,8:04,2,4,.500,0,1,.0,0,0,0,0,0,0,0,1,0,2,0,4,+4
布莱恩-斯卡拉布莱恩,0:36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
特马尔-斯利,0:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
