比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2003总决赛G1：新泽西网队89-101马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2003年06月4日 8:30,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：新泽西网队,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, 乔-克劳福德, Joe DeRosa",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
新泽西网队全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
杰森-基德,43:51,4,17,.235,1,5,.200,1,2,.500,0,8,8,10,2,1,3,1,10,-12
理查德-杰弗森,36:21,5,10,.500,0,0,0,5,6,.833,0,4,4,1,2,0,3,3,15,-8
肯扬-马丁,33:14,10,24,.417,0,1,.0,1,2,.500,4,8,12,2,1,2,1,6,21,-12
杰森-科林斯,30:46,1,4,.250,0,0,0,3,4,.750,4,5,9,3,0,0,0,4,5,-6
科瑞-基德尔斯,30:22,2,7,.286,1,3,.333,3,4,.750,2,1,3,2,0,0,1,1,8,-11
鲁西奥斯-哈里斯,23:32,4,10,.400,1,2,.500,6,7,.857,0,1,1,0,0,0,0,1,15,0
罗德尼-罗杰斯,20:31,5,10,.500,1,2,.500,0,0,0,1,1,2,1,0,0,0,3,11,-5
阿龙-威廉姆斯,11:06,2,5,.400,0,0,0,0,0,0,2,2,4,0,0,1,0,4,4,-2
迪肯贝-穆托姆博,6:08,0,1,.0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,0,-4
安东尼-约翰逊,4:09,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
布莱恩-斯卡拉布莱恩,未上场,,,,,,,,,,,,,,,,,,,
特马尔-斯利,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
蒂姆-邓肯,44:27,11,17,.647,0,0,0,10,14,.714,3,17,20,6,3,7,1,1,32,+10
斯蒂芬-杰克逊,41:32,5,15,.333,0,4,.0,2,5,.400,1,2,3,5,2,0,3,3,12,+9
托尼-帕克,39:50,6,14,.429,1,2,.500,3,4,.750,0,3,3,5,1,0,2,0,16,+17
大卫-罗宾逊,27:31,6,8,.750,0,0,0,2,3,.667,2,4,6,1,0,4,0,2,14,+11
布鲁斯-鲍文,26:28,2,3,.667,2,2,1.0,0,0,0,0,2,2,1,0,0,1,4,6,+2
马努-吉诺比利,28:00,3,8,.375,1,2,.500,0,0,0,1,6,7,3,0,0,3,3,7,+13
马利克-罗斯,23:41,5,11,.455,0,0,0,2,2,1.0,3,3,6,2,1,0,2,5,12,+6
斯彼迪-克莱斯克顿,8:11,1,3,.333,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,-5
丹尼-费里,0:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
史蒂夫-科尔,未上场,,,,,,,,,,,,,,,,,,,
史蒂夫-史密斯,未上场,,,,,,,,,,,,,,,,,,,
凯文-威利斯,未上场,,,,,,,,,,,,,,,,,,,
