比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2012总决赛G3：雷霆85-91热火,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2012年06月17日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：迈阿密热火/客队：俄克拉荷马城雷霆,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：James Capers Jr., 乔-克劳福德, Ken Mauer",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：雷吉-杰克逊,埃里克-梅诺",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：埃迪-库里,德克斯特-皮特曼",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
雷霆全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
凯文-杜兰特,39:11,11,19,.579,1,4,.250,2,4,.500,2,4,6,0,1,2,5,5,25,-3
拉塞尔-威斯布鲁克,38:47,8,18,.444,1,4,.250,2,2,1.0,0,5,5,4,0,2,2,2,19,+3
肯德里克-帕金斯,33:57,3,5,.600,0,0,0,4,6,.667,6,6,12,0,0,1,0,3,10,+3
萨博-塞福洛沙,27:13,3,8,.375,0,2,.0,0,0,0,1,1,2,1,3,1,2,3,6,-11
赛尔吉-伊巴卡,22:23,2,5,.400,0,0,0,1,2,.500,0,5,5,0,0,2,0,2,5,+8
詹姆斯-哈登,34:10,2,10,.200,0,4,.0,5,7,.714,1,5,6,6,2,0,2,4,9,-5
德里克-费舍尔,28:15,3,8,.375,2,3,.667,1,1,1.0,0,0,0,0,2,0,0,2,9,-9
尼克-科里森,13:13,1,3,.333,0,0,0,0,2,.0,1,1,2,0,1,0,0,4,2,-11
戴奎恩-库克,2:51,0,1,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,-5
科尔-阿尔德里奇,未上场,,,,,,,,,,,,,,,,,,,
拉扎尔-海沃德,未上场,,,,,,,,,,,,,,,,,,,
罗耶尔-埃维,未上场,,,,,,,,,,,,,,,,,,,
纳兹尔-穆罕默德,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德维恩-韦德,44:55,8,22,.364,0,0,0,9,11,.818,2,5,7,7,2,0,5,4,25,+2
勒布朗-詹姆斯,43:50,11,23,.478,1,4,.250,6,8,.750,5,9,14,3,0,0,4,1,29,+8
马里奥-查默斯,39:48,1,8,.125,0,3,.0,0,0,0,0,3,3,3,2,1,1,2,2,-1
克里斯-波什,37:06,3,12,.250,0,0,0,4,4,1.0,4,7,11,0,0,2,1,1,10,-7
肖恩-巴蒂尔,35:07,2,2,1.0,2,2,1.0,3,3,1.0,0,3,3,0,1,0,0,3,9,+11
犹多尼斯-哈斯勒姆,14:18,1,1,1.0,0,0,0,4,4,1.0,2,1,3,0,0,1,1,2,6,+10
詹姆斯-琼斯,12:14,1,2,.500,1,2,.500,3,3,1.0,0,2,2,0,1,0,0,1,6,+5
迈克-米勒,6:33,1,2,.500,0,1,.0,2,2,1.0,1,1,2,0,0,1,0,3,4,+1
诺里斯-科尔,6:09,0,2,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,2,0,+1
乔尔-安东尼,未上场,,,,,,,,,,,,,,,,,,,
特雷尔-哈里斯,未上场,,,,,,,,,,,,,,,,,,,
朱万-霍华德,未上场,,,,,,,,,,,,,,,,,,,
罗尼-图里亚夫,未上场,,,,,,,,,,,,,,,,,,,
