比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2013总决赛G4：热火109-93马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2013年06月13日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Mike Callahan, Scott Foster, Bill Kennedy",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：朱万-霍华德,贾维斯-瓦纳多",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：阿隆-贝恩斯,帕蒂-米尔斯",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,41:23,15,25,.600,1,2,.500,2,4,.500,3,8,11,4,2,2,1,2,33,+8
德维恩-韦德,39:55,14,25,.560,0,0,0,4,4,1.0,2,4,6,4,6,1,0,4,32,+5
克里斯-波什,37:52,8,14,.571,0,0,0,4,4,1.0,2,11,13,1,2,2,1,3,20,+6
马里奥-查默斯,28:55,2,4,.500,2,3,.667,0,0,0,0,4,4,5,1,0,4,3,6,+5
迈克-米勒,21:02,0,1,.0,0,1,.0,0,0,0,0,1,1,2,0,1,0,3,0,+5
雷-阿伦,33:27,5,10,.500,1,4,.250,3,3,1.0,0,1,1,2,0,0,1,3,14,+19
诺里斯-科尔,18:30,0,4,.0,0,1,.0,0,0,0,0,0,0,4,2,0,1,2,0,+9
犹多尼斯-哈斯勒姆,10:08,1,1,1.0,0,0,0,0,0,0,0,5,5,0,0,0,1,5,2,+10
肖恩-巴蒂尔,8:48,0,1,.0,0,1,.0,2,2,1.0,0,0,0,1,0,1,0,1,2,+13
克里斯-安德森,未上场,,,,,,,,,,,,,,,,,,,
乔尔-安东尼,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
拉沙德-刘易斯,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
丹尼-格林,35:54,3,8,.375,3,5,.600,1,2,.500,0,4,4,4,1,1,2,5,10,-4
科怀-伦纳德,33:19,5,10,.500,1,2,.500,1,2,.500,1,6,7,0,1,2,1,2,12,-6
蒂姆-邓肯,32:59,6,10,.600,0,0,0,8,10,.800,1,4,5,1,0,1,3,2,20,-4
托尼-帕克,31:30,7,16,.438,0,1,.0,1,3,.333,1,3,4,9,1,0,3,0,15,-6
蒂亚戈-斯普利特,13:41,0,3,.0,0,0,0,4,4,1.0,1,2,3,1,1,0,3,1,4,-11
加里-尼尔,30:42,4,7,.571,3,4,.750,2,2,1.0,0,3,3,0,0,0,2,2,13,-15
马努-吉诺比利,25:52,1,5,.200,0,3,.0,3,4,.750,0,2,2,2,0,0,1,4,5,-22
伯瑞斯-迪奥,11:18,3,6,.500,1,1,1.0,2,2,1.0,1,2,3,1,0,0,2,1,9,+3
科里-约瑟夫,9:29,0,1,.0,0,0,0,1,2,.500,0,1,1,1,0,0,1,0,1,-9
马特-邦纳,7:26,2,2,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,-4
德胡安-布莱尔,3:55,0,2,.0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,-1
南多-德科洛,3:55,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1
特雷西-麦克格雷迪,未上场,,,,,,,,,,,,,,,,,,,
