比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2013总决赛G7：马刺88-95热火,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G7,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2013年06月20日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：迈阿密热火/客队：圣安东尼奥马刺,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, Scott Foster, Monty McCutchen",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：阿隆-贝恩斯,帕蒂-米尔斯",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：朱万-霍华德,贾维斯-瓦纳多",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科怀-伦纳德,45:00,8,17,.471,1,4,.250,2,4,.500,4,12,16,0,1,1,2,2,19,-8
蒂姆-邓肯,43:10,8,18,.444,0,0,0,8,8,1.0,4,8,12,2,4,1,3,4,24,+2
托尼-帕克,36:33,3,12,.250,0,0,0,4,4,1.0,0,0,0,4,3,0,2,1,10,-4
丹尼-格林,36:27,1,12,.083,1,6,.167,2,2,1.0,1,4,5,0,2,1,2,3,5,0
马努-吉诺比利,35:05,6,12,.500,2,5,.400,4,4,1.0,0,3,3,5,0,0,4,4,18,+6
加里-尼尔,26:26,2,7,.286,1,3,.333,0,0,0,1,3,4,1,0,0,1,2,5,-7
伯瑞斯-迪奥,12:41,2,2,1.0,1,1,1.0,0,0,0,2,1,3,1,0,0,0,2,5,-18
蒂亚戈-斯普利特,4:17,1,2,.500,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,-6
科里-约瑟夫,0:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
德胡安-布莱尔,未上场,,,,,,,,,,,,,,,,,,,
马特-邦纳,未上场,,,,,,,,,,,,,,,,,,,
南多-德科洛,未上场,,,,,,,,,,,,,,,,,,,
特雷西-麦克格雷迪,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,45:00,12,23,.522,5,10,.500,8,8,1.0,3,9,12,4,2,0,2,2,37,+8
马里奥-查默斯,40:18,6,15,.400,1,7,.143,1,4,.250,0,0,0,2,2,0,4,3,14,+9
德维恩-韦德,38:48,11,21,.524,0,0,0,1,2,.500,1,9,10,1,1,2,4,0,23,-2
克里斯-波什,27:46,0,5,.0,0,1,.0,0,0,0,3,4,7,2,0,1,2,5,0,+1
迈克-米勒,19:18,0,5,.0,0,4,.0,0,0,0,0,2,2,0,2,0,0,2,0,-5
肖恩-巴蒂尔,28:42,6,8,.750,6,8,.750,0,0,0,1,3,4,1,1,0,0,1,18,+12
雷-阿伦,19:54,0,4,.0,0,2,.0,0,0,0,0,4,4,4,0,0,3,2,0,+6
克里斯-安德森,18:37,1,1,1.0,0,0,0,1,2,.500,3,1,4,0,0,1,1,2,3,+11
犹多尼斯-哈斯勒姆,1:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-5
乔尔-安东尼,未上场,,,,,,,,,,,,,,,,,,,
诺里斯-科尔,未上场,,,,,,,,,,,,,,,,,,,
詹姆斯-琼斯,未上场,,,,,,,,,,,,,,,,,,,
拉沙德-刘易斯,未上场,,,,,,,,,,,,,,,,,,,
