比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2013总决赛G2：马刺84-103热火,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2013年06月9日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：迈阿密热火/客队：圣安东尼奥马刺,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：乔-克劳福德, Ed Malloy, Ken Mauer",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：阿隆-贝恩斯,南多-德科洛",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：朱万-霍华德,贾维斯-瓦纳多",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科怀-伦纳德,33:29,4,12,.333,1,3,.333,0,1,.0,8,6,14,2,1,0,1,2,9,-21
托尼-帕克,33:01,5,14,.357,0,1,.0,3,4,.750,1,2,3,5,0,1,5,0,13,-27
蒂姆-邓肯,30:14,3,13,.231,0,0,0,3,4,.750,3,8,11,1,0,0,1,1,9,-14
丹尼-格林,30:00,6,6,1.0,5,5,1.0,0,0,0,0,1,1,1,0,1,1,4,17,-9
蒂亚戈-斯普利特,22:37,2,5,.400,0,0,0,0,0,0,0,1,1,1,0,1,1,1,4,-2
加里-尼尔,21:52,3,7,.429,2,3,.667,2,2,1.0,0,2,2,0,0,0,3,2,10,-28
马努-吉诺比利,17:52,2,6,.333,1,4,.250,0,0,0,0,2,2,1,1,0,3,3,5,-23
伯瑞斯-迪奥,10:58,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,-3
科里-约瑟夫,9:05,3,3,1.0,0,0,0,2,3,.667,2,1,3,1,0,0,1,0,8,+12
马特-邦纳,7:43,2,4,.500,1,2,.500,0,0,0,0,1,1,0,0,0,0,0,5,+5
德胡安-布莱尔,7:43,1,4,.250,0,0,0,0,0,0,1,3,4,0,1,0,0,0,2,+5
帕蒂-米尔斯,7:43,1,3,.333,0,2,.0,0,0,0,0,0,0,0,0,0,0,0,2,+5
特雷西-麦克格雷迪,7:43,0,1,.0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,+5
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,40:33,7,17,.412,1,3,.333,2,2,1.0,1,7,8,7,3,3,2,2,17,+29
马里奥-查默斯,35:22,6,12,.500,2,4,.500,5,5,1.0,0,4,4,2,1,0,0,1,19,+30
克里斯-波什,31:12,6,10,.600,0,0,0,0,0,0,4,6,10,4,3,1,0,1,12,+9
德维恩-韦德,29:34,5,13,.385,0,0,0,0,2,.0,0,2,2,6,0,1,2,1,10,+4
犹多尼斯-哈斯勒姆,15:37,2,4,.500,0,0,0,1,1,1.0,2,0,2,0,0,0,0,2,5,-3
雷-阿伦,24:56,5,8,.625,3,5,.600,0,0,0,0,1,1,0,0,0,0,0,13,+27
迈克-米勒,15:57,3,3,1.0,3,3,1.0,0,0,0,0,0,0,1,1,0,0,2,9,+22
克里斯-安德森,14:19,3,3,1.0,0,0,0,3,4,.750,1,3,4,0,1,1,1,5,9,+12
诺里斯-科尔,12:38,1,5,.200,0,1,.0,0,0,0,1,1,2,1,0,0,0,2,2,-11
拉沙德-刘易斯,4:58,2,3,.667,0,0,0,0,0,0,0,1,1,1,0,0,1,0,4,-6
肖恩-巴蒂尔,4:58,1,3,.333,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,3,-6
乔尔-安东尼,4:58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-6
詹姆斯-琼斯,4:58,0,2,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
