比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2006总决赛G2：热火85-99独行侠,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2006年06月11日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：达拉斯独行侠/客队：迈阿密热火,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Bob Delaney, Steve Javie, Eddie F. Rush",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：韦恩-希米恩,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
热火全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
安托万-沃克,42:54,8,16,.500,4,7,.571,0,0,0,0,4,4,2,0,1,2,3,20,-7
德维恩-韦德,39:59,6,19,.316,0,0,0,11,14,.786,4,4,8,3,2,1,4,4,23,-6
杰森-威廉姆斯,30:59,3,10,.300,1,4,.250,4,5,.800,0,2,2,4,1,0,0,2,11,-24
Shaquille O'Neal,27:56,2,5,.400,0,0,0,1,7,.143,1,5,6,2,0,0,2,1,5,-27
犹多尼斯-哈斯勒姆,20:07,3,6,.500,0,0,0,0,0,0,0,1,1,0,0,0,2,2,6,-23
詹姆斯-波西,28:27,2,6,.333,2,4,.500,1,1,1.0,2,3,5,1,0,0,1,6,7,+3
加里-佩顿,28:00,1,4,.250,0,2,.0,0,0,0,0,1,1,4,2,0,0,2,2,+1
阿隆佐-莫宁,20:04,4,4,1.0,0,0,0,3,5,.600,1,3,4,0,0,1,1,3,11,+13
山顿-安德森,1:34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
德里克-安德森,未上场,,,,,,,,,,,,,,,,,,,
迈克尔-多里亚克,未上场,,,,,,,,,,,,,,,,,,,
杰森-卡波诺,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
独行侠全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
杰森-特里,41:17,6,15,.400,1,6,.167,3,5,.600,0,1,1,9,2,0,3,2,16,+6
德克-诺维茨基,41:02,8,16,.500,0,2,.0,10,11,.909,1,15,16,4,0,2,1,2,26,+19
约什-霍华德,28:33,6,12,.500,2,3,.667,1,1,1.0,1,2,3,1,0,2,4,5,15,+14
阿德里安-格里芬,18:16,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,1,4,0,+8
德萨盖纳-迪奥普,12:17,0,0,0,0,0,0,1,2,.500,1,3,4,0,1,0,1,5,1,-9
杰里-斯塔克豪斯,30:07,6,11,.545,4,5,.800,3,3,1.0,1,2,3,3,0,0,3,1,19,+9
埃里克-丹皮尔,28:49,2,3,.667,0,0,0,2,3,.667,4,9,13,1,1,1,2,2,6,+25
德文-哈里斯,23:11,4,10,.400,0,1,.0,3,3,1.0,0,1,1,4,1,0,1,4,11,+6
基思-范霍恩,10:19,2,3,.667,1,2,.500,0,0,0,0,0,0,0,0,0,1,1,5,-8
马奎斯-丹尼尔斯,6:09,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0
达雷尔-阿姆斯特朗,未上场,,,,,,,,,,,,,,,,,,,
约什-鲍威尔,未上场,,,,,,,,,,,,,,,,,,,
