比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1990总决赛G5：活塞92-90开拓者,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1990年06月14日 June 14,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波特兰开拓者/客队：底特律活塞,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Darell Garretson, Jack Madden, Ed T. Rush",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
活塞全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
乔-杜马斯,37:00,2,13,.154,0,1,.0,4,6,.667,3,1,4,7,2,0,2,2,8,
伊赛亚-托马斯,35:00,13,20,.650,3,3,1.0,0,2,.0,2,1,3,5,2,0,7,3,29,
詹姆斯-爱德华兹,34:00,5,13,.385,0,1,.0,3,5,.600,1,2,3,0,1,1,3,5,13,
比尔-兰比尔,33:00,3,5,.600,0,0,0,0,0,0,1,16,17,2,1,1,0,5,6,
马克-阿吉雷,18:00,3,8,.375,1,1,1.0,3,3,1.0,2,2,4,0,0,0,2,3,10,
丹尼斯-罗德曼,30:00,1,3,.333,0,0,0,0,2,.0,2,3,5,1,1,2,1,3,2,
约翰-萨利,25:00,4,8,.500,0,0,0,0,0,0,4,2,6,0,1,1,1,4,8,
文尼-约翰逊,24:00,6,11,.545,0,0,0,4,5,.800,1,1,2,0,1,1,2,3,16,
大卫-格林伍德,4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,,,,,,,,,,,,,,,,,,,,
开拓者全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
杰罗姆-克西,45:00,4,12,.333,0,1,.0,3,4,.750,4,5,9,3,1,0,3,4,11,
特里-波特,40:00,5,12,.417,4,9,.444,7,10,.700,1,0,1,9,3,1,5,2,21,
克莱德-德雷克斯勒,40:00,6,13,.462,0,1,.0,8,11,.727,1,5,6,4,1,0,4,6,20,
凯文-达克沃斯,37:00,10,21,.476,0,0,0,1,3,.333,0,5,5,0,1,0,1,3,21,
巴克-威廉姆斯,33:00,5,11,.455,0,0,0,0,0,0,2,6,8,2,0,1,2,4,10,
克利弗德-罗宾逊,18:00,0,4,.0,0,0,0,0,0,0,4,2,6,0,0,1,0,3,0,
丹尼-杨,16:00,2,2,1.0,1,1,1.0,0,0,0,1,1,2,2,1,1,2,1,5,
韦恩-库珀,11:00,1,3,.333,0,0,0,0,2,.0,1,2,3,0,1,0,0,2,2,
