比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1990总决赛G4：活塞112-109开拓者,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1990年06月12日 June 12,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波特兰开拓者/客队：底特律活塞,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Hugh Evans, Mike Mathis, Earl Strom",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
活塞全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
乔-杜马斯,43:00,9,21,.429,0,2,.0,8,8,1.0,0,2,2,4,1,0,3,0,26,
比尔-兰比尔,37:00,4,10,.400,2,7,.286,2,2,1.0,3,9,12,3,2,1,1,6,12,
伊赛亚-托马斯,34:00,11,20,.550,4,5,.800,6,6,1.0,1,3,4,5,3,0,3,3,32,
马克-阿吉雷,26:00,1,7,.143,1,2,.500,0,0,0,1,1,2,2,1,0,1,3,3,
詹姆斯-爱德华兹,19:00,5,10,.500,0,0,0,3,4,.750,2,5,7,2,0,0,1,5,13,
文尼-约翰逊,31:00,9,12,.750,0,0,0,2,4,.500,3,1,4,3,0,0,1,4,20,
约翰-萨利,31:00,2,8,.250,0,0,0,0,0,0,1,3,4,0,0,2,1,6,4,
大卫-格林伍德,16:00,0,2,.0,0,0,0,0,0,0,1,3,4,0,1,0,1,3,0,
杰拉德-亨德森,1:00,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
斯科特-黑斯廷斯,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
丹尼斯-罗德曼,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
开拓者全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
巴克-威廉姆斯,45:00,3,8,.375,0,0,0,3,4,.750,1,6,7,2,0,0,0,2,9,
杰罗姆-克西,44:00,11,17,.647,0,0,0,11,14,.786,1,7,8,2,2,1,4,3,33,
特里-波特,42:00,5,10,.500,0,3,.0,7,9,.778,0,5,5,6,0,0,5,5,17,
克莱德-德雷克斯勒,41:00,14,19,.737,0,1,.0,6,9,.667,3,5,8,10,2,0,3,2,34,
凯文-达克沃斯,21:00,3,7,.429,0,0,0,2,2,1.0,0,3,3,0,0,1,3,4,8,
丹尼-杨,17:00,0,2,.0,0,1,.0,0,0,0,0,1,1,1,0,0,0,3,0,
克利弗德-罗宾逊,14:00,4,8,.500,0,0,0,0,1,.0,1,0,1,0,1,1,1,3,8,
韦恩-库珀,12:00,0,1,.0,0,0,0,0,0,0,2,0,2,1,0,2,1,2,0,
德拉任-彼得罗维奇,4:00,0,1,.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,
