比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1990总决赛G3：活塞121-106开拓者,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1990年06月10日 June 10,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波特兰开拓者/客队：底特律活塞,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：乔-克劳福德, Jess Kersey, Jake O'Donnell",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
活塞全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
乔-杜马斯,43:00,11,22,.500,2,3,.667,9,9,1.0,1,0,1,5,0,0,4,3,33,
伊赛亚-托马斯,41:00,6,8,.750,0,1,.0,9,11,.818,1,4,5,8,1,0,6,4,21,
比尔-兰比尔,40:00,4,12,.333,0,3,.0,3,3,1.0,1,11,12,2,1,1,0,6,11,
马克-阿吉雷,28:00,4,7,.571,1,2,.500,2,4,.500,1,2,3,1,1,0,0,2,11,
詹姆斯-爱德华兹,25:00,5,10,.500,0,0,0,1,5,.200,1,1,2,2,0,0,0,2,11,
文尼-约翰逊,25:00,9,13,.692,0,0,0,3,3,1.0,1,0,1,0,0,1,3,1,21,
约翰-萨利,21:00,3,7,.429,0,0,0,4,4,1.0,3,4,7,1,0,2,0,3,10,
大卫-格林伍德,13:00,1,1,1.0,0,0,0,1,2,.500,1,4,5,0,0,0,1,4,3,
斯科特-黑斯廷斯,3:00,0,1,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,1,0,
杰拉德-亨德森,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
开拓者全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
克莱德-德雷克斯勒,43:00,9,23,.391,1,6,.167,5,6,.833,6,7,13,8,3,1,5,4,24,
特里-波特,42:00,6,13,.462,1,4,.250,7,7,1.0,2,1,3,9,2,0,4,4,20,
杰罗姆-克西,38:00,10,21,.476,0,0,0,7,7,1.0,3,4,7,0,0,0,1,5,27,
凯文-达克沃斯,27:00,8,13,.615,0,0,0,2,2,1.0,2,2,4,0,0,0,5,5,18,
巴克-威廉姆斯,27:00,1,3,.333,0,0,0,3,4,.750,3,3,6,1,0,0,2,6,5,
丹尼-杨,18:00,2,5,.400,0,1,.0,1,3,.333,0,2,2,1,1,0,0,2,5,
韦恩-库珀,16:00,2,3,.667,0,0,0,0,0,0,2,3,5,0,0,0,1,1,4,
克利弗德-罗宾逊,14:00,1,7,.143,0,1,.0,0,0,0,0,1,1,1,1,0,0,5,2,
德拉任-彼得罗维奇,8:00,0,5,.0,0,1,.0,0,0,0,0,0,0,2,0,0,1,3,0,
马克-布莱恩特,7:00,0,0,0,0,0,0,1,2,.500,0,1,1,0,0,0,1,3,1,
