比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1999总决赛G3：马刺81-89尼克斯,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G3,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1999年06月21日 June 21,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：纽约尼克斯/客队：圣安东尼奥马刺,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, Hue Hollins, Ronnie Nunn",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
蒂姆-邓肯,46:26,8,16,.500,0,1,.0,4,4,1.0,3,9,12,2,3,1,5,3,20,-11
埃弗里-约翰逊,39:03,5,9,.556,0,0,0,0,0,0,2,2,4,4,1,0,6,3,10,-5
大卫-罗宾逊,38:52,6,12,.500,0,0,0,13,17,.765,1,9,10,1,0,2,2,3,25,-6
肖恩-埃利奥特,38:00,3,9,.333,1,5,.200,0,0,0,0,1,1,2,1,0,1,2,7,-11
马里奥-艾利,26:23,2,6,.333,1,3,.333,1,1,1.0,0,0,0,1,0,0,1,5,6,-2
安东尼奥-丹尼尔斯,16:10,3,3,1.0,2,2,1.0,0,0,0,0,1,1,3,1,0,2,2,8,-2
史蒂夫-科尔,14:03,2,4,.500,1,1,1.0,0,0,0,2,0,2,0,0,0,1,3,5,-3
小贾伦-杰克逊,10:21,0,3,.0,0,1,.0,0,0,0,0,0,0,2,0,0,1,4,0,-1
马利克-罗斯,10:11,0,3,.0,0,0,0,0,0,0,2,4,6,0,0,0,1,2,0,+1
杰拉德-金,0:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
杰罗姆-克西,未上场,,,,,,,,,,,,,,,,,,,
维尔-佩尔多,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
尼克斯全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
拉特里尔-斯普雷威尔,45:45,9,22,.409,0,1,.0,6,10,.600,1,4,5,5,2,0,2,1,24,+9
阿兰-休斯敦,45:19,10,24,.417,2,4,.500,12,12,1.0,1,2,3,4,0,0,0,0,34,+11
拉里-约翰逊,43:01,6,16,.375,1,5,.200,3,4,.750,2,3,5,1,1,0,2,3,16,+7
查理-沃德,31:35,1,4,.250,0,2,.0,0,0,0,1,1,2,2,4,0,2,2,2,+4
马库斯-坎比,15:39,2,4,.500,0,0,0,1,2,.500,2,2,4,0,0,3,0,6,5,+5
克里斯-柴尔斯,21:52,1,2,.500,1,1,1.0,1,2,.500,0,3,3,3,0,0,2,4,4,0
克里斯-杜德利,19:09,1,2,.500,0,0,0,0,0,0,0,4,4,1,0,1,1,3,2,-3
科特-托马斯,17:30,1,4,.250,0,0,0,0,0,0,5,5,10,1,1,0,1,4,2,+7
里克-布伦森,0:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帕特里克-尤因,未上场,,,,,,,,,,,,,,,,,,,
赫伯-威廉姆斯,未上场,,,,,,,,,,,,,,,,,,,
大卫-温盖特,未上场,,,,,,,,,,,,,,,,,,,
