比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1998总决赛G2：公牛93-88爵士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1998年06月5日 June 5,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：犹他爵士/客队：芝加哥公牛,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dan Crawford, 乔-克劳福德, Bill Oakes",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
托尼-库科奇,42:52,6,16,.375,1,6,.167,0,2,.0,5,4,9,2,2,0,3,1,13,-1
斯科蒂-皮蓬,41:22,7,13,.538,0,1,.0,7,7,1.0,3,3,6,4,1,1,2,3,21,+1
迈克尔-乔丹,40:14,14,33,.424,0,2,.0,9,10,.900,3,2,5,3,1,1,0,2,37,+16
罗恩-哈珀,24:30,1,4,.250,0,1,.0,1,2,.500,1,1,2,3,2,0,0,1,3,-1
卢克-朗利,16:31,2,2,1.0,0,0,0,0,0,0,0,2,2,2,1,0,0,6,4,+1
丹尼斯-罗德曼,27:18,1,1,1.0,0,0,0,1,2,.500,5,4,9,1,2,0,1,5,3,-1
史蒂夫-科尔,26:58,1,5,.200,1,4,.250,4,4,1.0,1,0,1,2,0,0,1,1,7,+7
斯科特-伯勒尔,14:48,2,5,.400,1,2,.500,0,0,0,0,1,1,0,1,0,0,1,5,+2
比尔-温宁顿,3:42,0,1,.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,+3
尤德-比希勒,1:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
兰迪-布朗,未上场,,,,,,,,,,,,,,,,,,,
迪克-辛普金斯,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
爵士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
卡尔-马龙,38:45,5,16,.313,0,0,0,6,9,.667,5,7,12,4,0,3,4,5,16,+1
布莱恩-拉塞尔,36:39,4,7,.571,3,5,.600,0,0,0,1,4,5,1,1,0,3,2,11,+6
杰夫-霍纳塞克,32:13,7,11,.636,2,3,.667,4,4,1.0,0,1,1,2,0,0,3,6,20,+1
约翰-斯托克顿,30:59,4,5,.800,1,2,.500,0,0,0,0,3,3,7,2,0,3,5,9,+1
格雷格-福斯特,12:45,0,1,.0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,-7
霍华德-埃斯利,24:19,4,10,.400,1,2,.500,0,0,0,1,1,2,7,0,1,3,3,9,-13
山顿-安德森,23:49,4,7,.571,0,1,.0,4,5,.800,0,2,2,0,0,0,1,1,12,-8
克里斯-莫里斯,14:51,1,2,.500,0,0,0,0,0,0,1,3,4,0,0,1,0,3,2,-13
亚当-基夫,9:17,0,2,.0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,0,+9
安托万-卡尔,9:11,1,2,.500,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,-4
格雷格-奥斯特塔格,7:12,3,4,.750,0,0,0,1,1,1.0,0,3,3,0,0,0,0,0,7,+2
雅克-沃恩,未上场,,,,,,,,,,,,,,,,,,,
