比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,1998总决赛G4：爵士82-86公牛,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：1998年06月10日 June 10,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：芝加哥公牛/客队：犹他爵士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Hugh Evans, Steve Javie, Jack Nies",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：None,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：None,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
爵士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
卡尔-马龙,42:44,10,21,.476,0,0,0,1,2,.500,6,8,14,4,1,0,4,3,21,-4
杰夫-霍纳塞克,34:51,3,8,.375,0,0,0,2,2,1.0,0,0,0,2,0,0,0,5,8,+2
布莱恩-拉塞尔,31:28,3,7,.429,2,5,.400,2,4,.500,0,3,3,0,2,0,0,4,10,-13
约翰-斯托克顿,31:05,3,11,.273,0,3,.0,1,2,.500,0,1,1,13,2,0,2,4,7,+4
亚当-基夫,20:08,2,4,.500,0,0,0,2,4,.500,3,4,7,0,0,0,1,4,6,-1
山顿-安德森,26:09,2,5,.400,0,1,.0,3,3,1.0,1,4,5,0,1,1,2,5,7,+1
克里斯-莫里斯,18:08,4,7,.571,0,3,.0,1,2,.500,0,3,3,0,0,0,0,3,9,+5
霍华德-埃斯利,16:55,3,8,.375,0,2,.0,2,2,1.0,0,3,3,5,0,0,1,1,8,-8
格雷格-福斯特,8:31,2,5,.400,0,1,.0,0,0,0,2,0,2,0,0,0,0,2,4,-5
安托万-卡尔,5:16,1,2,.500,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0
格雷格-奥斯特塔格,4:46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1
雅克-沃恩,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
公牛全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
斯科蒂-皮蓬,46:33,9,18,.500,5,10,.500,5,8,.625,5,4,9,5,1,0,1,2,28,+2
迈克尔-乔丹,43:10,12,27,.444,0,0,0,10,15,.667,3,5,8,2,2,0,3,1,34,0
罗恩-哈珀,34:28,2,7,.286,0,1,.0,2,4,.500,1,3,4,2,3,0,2,4,6,+5
托尼-库科奇,29:26,3,9,.333,0,2,.0,2,2,1.0,0,1,1,4,0,1,0,3,8,+11
卢克-朗利,22:56,0,1,.0,0,0,0,2,2,1.0,1,2,3,2,0,1,2,3,2,-1
丹尼斯-罗德曼,29:38,0,3,.0,0,0,0,6,8,.750,7,7,14,2,0,0,0,3,6,+5
斯科特-伯勒尔,17:51,1,5,.200,0,0,0,0,1,.0,0,5,5,0,0,0,1,1,2,-5
史蒂夫-科尔,15:54,0,3,.0,0,2,.0,0,0,0,0,0,0,1,1,0,0,2,0,+1
尤德-比希勒,0:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2
兰迪-布朗,未上场,,,,,,,,,,,,,,,,,,,
迪克-辛普金斯,未上场,,,,,,,,,,,,,,,,,,,
比尔-温宁顿,未上场,,,,,,,,,,,,,,,,,,,
