比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2021总决赛G4：太阳103-109雄鹿,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2021年07月14日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：密尔瓦基雄鹿/客队：菲尼克斯太阳,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：James Capers Jr., David Guthrie, Courtney Kirkland",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：Dario Šarić,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：唐特-迪温琴佐,萨姆-梅里尔",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
太阳全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
杰-克劳德,39:29,3,10,.300,3,9,.333,6,7,.857,1,7,8,3,3,3,3,5,15,-5
德安德烈-艾顿,38:38,3,9,.333,0,0,0,0,0,0,1,16,17,5,0,3,2,2,6,-7
德文-布克,38:30,17,28,.607,0,3,.0,8,9,.889,1,0,1,2,0,1,4,5,42,0
克里斯-保罗,36:37,5,13,.385,0,2,.0,0,0,0,0,4,4,7,0,0,5,4,10,-10
米卡尔-布里奇斯,25:30,3,4,.750,1,2,.500,0,0,0,1,4,5,0,0,1,0,2,7,-3
Came罗恩-约翰逊,28:34,4,6,.667,2,4,.500,0,0,0,0,1,1,1,0,1,2,3,10,-9
卡梅伦-佩恩,17:19,4,7,.571,1,3,.333,0,1,.0,0,1,1,0,0,0,1,2,9,0
托里-克雷格,15:23,1,1,1.0,0,0,0,2,2,1.0,1,2,3,0,0,0,0,1,4,+4
泰肖恩-亚历山大,未上场,,,,,,,,,,,,,,,,,,,
杰文-卡特,未上场,,,,,,,,,,,,,,,,,,,
兰斯顿-加洛韦,未上场,,,,,,,,,,,,,,,,,,,
弗兰克-卡明斯基,未上场,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,未上场,,,,,,,,,,,,,,,,,,,
阿卜杜勒-纳迪尔,未上场,,,,,,,,,,,,,,,,,,,
杰伦-史密斯,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
雄鹿全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
克里斯-米德尔顿,43:00,15,33,.455,3,8,.375,7,8,.875,0,6,6,4,2,0,1,1,40,+10
扬尼斯-阿德托昆博,42:49,11,19,.579,0,2,.0,4,8,.500,5,9,14,8,3,2,1,3,26,+3
朱-霍勒迪,42:39,4,20,.200,0,5,.0,5,5,1.0,3,4,7,7,3,0,1,1,13,+8
PJ-塔克,29:17,0,1,.0,0,1,.0,0,0,0,3,2,5,1,1,0,0,5,0,-3
布鲁克-洛佩斯,19:11,4,9,.444,0,5,.0,6,6,1.0,1,0,1,0,1,0,1,3,14,-13
帕特-康诺顿,31:39,4,9,.444,3,7,.429,0,0,0,3,6,9,1,0,0,1,4,11,+21
博比-波蒂斯,20:27,1,6,.167,1,1,1.0,0,0,0,2,3,5,0,1,1,0,1,3,+7
杰夫-蒂格,10:58,0,0,0,0,0,0,2,2,1.0,0,1,1,1,0,0,0,0,2,-3
萨纳西斯-阿德托昆博,未上场,,,,,,,,,,,,,,,,,,,
伊莱贾-布莱恩特,未上场,,,,,,,,,,,,,,,,,,,
马马迪-迪亚基特,未上场,,,,,,,,,,,,,,,,,,,
布林-福布斯,未上场,,,,,,,,,,,,,,,,,,,
贾斯廷-杰克逊,未上场,,,,,,,,,,,,,,,,,,,
乔丹-沃拉,未上场,,,,,,,,,,,,,,,,,,,
阿克塞尔-唐佩恩,未上场,,,,,,,,,,,,,,,,,,,
