比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2010总决赛G5：湖人86-92凯尔特人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G5,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2010年06月13日 8:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：波士顿凯尔特人/客队：洛杉矶湖人,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Mike Callahan, 乔-克劳福德, Derrick Stafford",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,客队未出场球员：D.J. Mbenga,,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：Tony Gaffney,奥利弗-拉法耶蒂,布莱恩-斯卡拉布莱恩",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科比-布莱恩特,43:53,13,27,.481,4,10,.400,8,9,.889,2,3,5,4,1,1,4,5,38,-6
保罗-加索尔,38:05,5,12,.417,0,0,0,2,3,.667,7,5,12,0,2,0,1,4,12,-7
梅塔-沃尔德皮斯,34:15,2,9,.222,2,5,.400,1,4,.250,1,1,2,2,1,0,1,4,7,0
德里克-费舍尔,34:13,2,9,.222,0,1,.0,5,5,1.0,2,2,4,2,1,0,2,3,9,-6
安德鲁-拜纳姆,31:38,3,6,.500,0,0,0,0,1,.0,1,0,1,0,0,0,1,3,6,-12
拉马尔-奥多姆,26:17,4,6,.667,0,0,0,0,2,.0,3,5,8,2,2,0,3,2,8,+7
乔丹-法马尔,13:47,0,4,.0,0,1,.0,1,2,.500,0,1,1,1,1,0,0,0,1,0
萨沙-武贾西奇,10:22,2,5,.400,1,2,.500,0,0,0,0,1,1,0,1,0,0,1,5,-4
卢克-沃顿,7:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2
香农-布朗,0:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亚当-莫里森,未上场,,,,,,,,,,,,,,,,,,,
约什-鲍威尔,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
凯尔特人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
保罗-皮尔斯,42:41,12,21,.571,2,4,.500,1,2,.500,0,2,2,2,1,2,0,4,27,+3
雷-阿伦,40:10,5,10,.500,0,4,.0,2,2,1.0,0,3,3,2,1,0,2,5,12,+10
拉简-隆多,38:24,9,12,.750,0,0,0,0,0,0,1,4,5,8,1,1,7,1,18,+4
凯文-加内特,36:09,6,11,.545,0,0,0,6,7,.857,1,9,10,3,5,2,3,4,18,+6
肯德里克-帕金斯,31:38,2,2,1.0,0,0,0,0,2,.0,4,3,7,1,0,0,2,4,4,+5
拉希德-华莱士,14:45,2,4,.500,1,2,.500,0,0,0,0,4,4,0,0,1,0,0,5,+2
托尼-阿伦,13:09,2,6,.333,0,0,0,0,0,0,0,1,1,0,0,1,1,2,4,-1
格伦-戴维斯,13:09,0,1,.0,0,0,0,0,0,0,1,2,3,1,0,0,0,2,0,-1
内特-罗宾逊,9:55,2,4,.500,0,2,.0,0,0,0,0,0,0,4,0,0,1,1,4,+2
马奎斯-丹尼尔斯,未上场,,,,,,,,,,,,,,,,,,,
迈克尔-芬利,未上场,,,,,,,,,,,,,,,,,,,
谢尔登-威廉姆斯,未上场,,,,,,,,,,,,,,,,,,,
