比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2010总决赛G6：凯尔特人67-89湖人,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G6,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2010年06月15日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：洛杉矶湖人/客队：波士顿凯尔特人,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Joe DeRosa, Ken Mauer, Monty McCutchen",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：Tony Gaffney,奥利弗-拉法耶蒂,布莱恩-斯卡拉布莱恩",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,主队未出场球员：亚当-莫里森,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
凯尔特人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
雷-阿伦,36:02,7,14,.500,2,5,.400,3,3,1.0,2,0,2,3,0,0,0,2,19,-18
保罗-皮尔斯,34:17,6,14,.429,1,4,.250,0,0,0,1,3,4,2,1,0,5,1,13,-26
拉简-隆多,33:10,5,15,.333,0,1,.0,0,2,.0,1,4,5,6,2,0,3,1,10,-18
凯文-加内特,31:00,6,14,.429,0,1,.0,0,0,0,0,6,6,3,1,0,0,3,12,-18
肯德里克-帕金斯,6:30,0,1,.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-6
格伦-戴维斯,27:02,0,3,.0,0,0,0,0,2,.0,4,5,9,0,1,2,0,3,0,-16
拉希德-华莱士,17:22,0,7,.0,0,6,.0,0,0,0,0,3,3,0,0,0,0,4,0,-11
托尼-阿伦,17:18,1,4,.250,0,0,0,0,0,0,1,0,1,0,3,2,0,3,2,-10
内特-罗宾逊,15:38,2,8,.250,1,4,.250,1,1,1.0,1,3,4,3,0,0,2,0,6,-1
谢尔登-威廉姆斯,14:06,0,1,.0,0,0,0,0,0,0,0,3,3,0,0,0,2,2,0,+7
马奎斯-丹尼尔斯,4:14,1,2,.500,1,1,1.0,2,2,1.0,1,0,1,0,0,0,1,1,5,+3
迈克尔-芬利,3:21,0,1,.0,0,1,.0,0,0,0,0,0,0,0,0,0,0,0,0,+4
,,,,,,,,,,,,,,,,,,,,
湖人全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
保罗-加索尔,41:18,6,14,.429,0,0,0,5,6,.833,5,8,13,9,1,3,2,2,17,+20
科比-布莱恩特,39:37,9,19,.474,1,4,.250,7,7,1.0,3,8,11,3,4,0,2,2,26,+15
梅塔-沃尔德皮斯,32:05,6,11,.545,3,6,.500,0,0,0,0,6,6,0,0,1,2,3,15,+26
安德鲁-拜纳姆,15:53,1,4,.250,0,0,0,0,0,0,3,1,4,0,1,1,0,1,2,+9
德里克-费舍尔,15:20,1,1,1.0,0,0,0,2,2,1.0,0,2,2,0,2,0,3,4,4,+1
拉马尔-奥多姆,28:26,3,9,.333,0,2,.0,2,2,1.0,1,9,10,1,1,2,1,2,8,+14
香农-布朗,19:24,2,4,.500,0,1,.0,0,0,0,0,2,2,2,0,0,0,1,4,+8
乔丹-法马尔,17:27,2,6,.333,0,1,.0,0,0,0,0,1,1,1,3,0,2,0,4,+9
萨沙-武贾西奇,14:21,3,6,.500,2,4,.500,1,2,.500,0,1,1,1,1,0,1,1,9,+10
约什-鲍威尔,7:41,0,2,.0,0,1,.0,0,0,0,0,1,1,0,0,0,0,0,0,+2
卢克-沃顿,5:46,0,2,.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3
D.J. Mbenga,2:42,0,1,.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1
