比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2007总决赛G4：马刺83-82骑士,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G4,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2007年06月14日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：克里夫兰骑士/客队：圣安东尼奥马刺,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Joe Forte, Eddie F. Rush, Bennett Salvatore",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：杰齐-巴特勒,梅尔文-依莱,詹姆斯-怀特",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：拉里-休斯,德韦恩-琼斯,伊拉-纽贝尔",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
布鲁斯-鲍文,42:08,1,6,.167,0,3,.0,0,0,0,1,4,5,3,0,0,0,4,2,0
蒂姆-邓肯,40:08,4,15,.267,0,0,0,4,10,.400,5,10,15,3,2,2,6,3,12,+6
托尼-帕克,38:36,10,14,.714,2,3,.667,2,5,.400,0,7,7,1,0,0,3,2,24,+2
法布里希奥-奥博托,25:24,3,5,.600,0,0,0,1,1,1.0,3,2,5,0,1,0,0,2,7,+5
迈克尔-芬利,15:39,1,5,.200,0,2,.0,2,3,.667,0,2,2,0,0,0,0,0,4,-10
马努-吉诺比利,33:26,8,19,.421,3,9,.333,8,11,.727,1,4,5,3,1,0,1,5,27,+13
罗伯特-霍里,19:02,0,2,.0,0,2,.0,1,2,.500,1,2,3,1,0,0,2,1,1,-1
弗朗西斯科-埃尔森,10:55,1,1,1.0,0,0,0,2,2,1.0,0,0,0,0,1,0,1,0,4,+1
雅克-沃恩,9:24,1,1,1.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,-1
布伦特-巴里,5:18,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,0,-10
马特-邦纳,未上场,,,,,,,,,,,,,,,,,,,
本诺-尤德里,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,46:29,10,30,.333,2,7,.286,2,6,.333,0,6,6,10,0,0,6,1,24,+2
丹尼尔-吉布森,43:34,4,10,.400,2,6,.333,0,0,0,1,1,2,5,0,0,0,4,10,+2
德鲁-古登,27:21,5,12,.417,0,0,0,1,1,1.0,4,7,11,0,0,0,1,2,11,-11
扎诸纳斯-伊尔戈斯卡斯,25:48,3,8,.375,0,0,0,2,2,1.0,5,8,13,1,0,1,1,3,8,-10
萨沙-帕夫洛维奇,21:24,1,6,.167,1,2,.500,0,0,0,0,1,1,0,1,0,0,4,3,-5
安德森-瓦莱乔,23:49,3,3,1.0,0,0,0,2,2,1.0,1,2,3,1,3,0,0,4,8,+4
达蒙-琼斯,19:30,2,5,.400,2,4,.500,3,3,1.0,0,1,1,2,0,0,0,1,9,+7
唐耶尔-马绍尔,18:55,2,6,.333,0,3,.0,1,2,.500,1,3,4,2,1,0,1,4,5,+15
埃里克-斯诺,13:12,2,4,.500,0,0,0,0,0,0,0,1,1,2,0,1,1,1,4,-7
香农-布朗,0:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
斯科特-波拉德,未上场,,,,,,,,,,,,,,,,,,,
大卫-韦斯利,未上场,,,,,,,,,,,,,,,,,,,
