比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2007总决赛G2：骑士92-103马刺,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G2,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2007年06月10日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：圣安东尼奥马刺/客队：克里夫兰骑士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：Dick Bavetta, Jim Clark, Joe DeRosa",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：香农-布朗,德韦恩-琼斯,大卫-韦斯利",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：杰齐-巴特勒,梅尔文-依莱,詹姆斯-怀特",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
骑士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
勒布朗-詹姆斯,38:00,9,21,.429,0,2,.0,7,11,.636,3,4,7,6,1,0,6,3,25,-5
萨沙-帕夫洛维奇,26:55,4,11,.364,2,3,.667,0,2,.0,2,2,4,0,1,0,3,1,10,-23
德鲁-古登,24:21,6,12,.500,0,1,.0,1,1,1.0,3,3,6,0,0,1,0,2,13,-12
扎诸纳斯-伊尔戈斯卡斯,21:48,3,8,.375,0,0,0,3,3,1.0,1,3,4,0,0,1,0,3,9,-19
拉里-休斯,20:17,0,5,.0,0,1,.0,0,0,0,0,2,2,2,1,0,2,1,0,-14
丹尼尔-吉布森,31:51,6,12,.500,2,5,.400,1,1,1.0,0,1,1,0,1,0,0,3,15,-1
安德森-瓦莱乔,28:22,2,2,1.0,0,0,0,4,7,.571,1,9,10,2,0,0,0,4,8,+2
唐耶尔-马绍尔,20:34,1,4,.250,1,3,.333,2,2,1.0,1,1,2,3,1,0,0,2,5,+7
达蒙-琼斯,15:27,2,4,.500,2,3,.667,0,0,0,1,2,3,0,0,0,0,0,6,+19
埃里克-斯诺,10:35,0,1,.0,0,0,0,1,2,.500,1,1,2,2,0,0,0,0,1,-9
伊拉-纽贝尔,0:55,0,1,.0,0,1,.0,0,0,0,0,1,1,0,0,0,0,0,0,0
斯科特-波拉德,0:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
马刺全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
布鲁斯-鲍文,40:37,1,9,.111,1,6,.167,0,0,0,1,4,5,0,1,1,1,1,3,+6
蒂姆-邓肯,35:57,9,16,.563,0,0,0,5,7,.714,4,5,9,8,0,0,1,4,23,+10
托尼-帕克,35:43,13,20,.650,1,1,1.0,3,4,.750,1,3,4,2,1,0,2,2,30,+10
法布里希奥-奥博托,20:19,2,3,.667,0,0,0,0,2,.0,1,3,4,0,0,0,1,3,4,+1
迈克尔-芬利,14:36,1,4,.250,0,3,.0,0,0,0,1,0,1,2,1,0,1,2,2,+3
马努-吉诺比利,28:07,5,11,.455,4,6,.667,11,11,1.0,0,6,6,2,3,0,3,5,25,+17
罗伯特-霍里,26:26,1,3,.333,1,2,.500,2,2,1.0,2,7,9,4,0,5,0,3,5,+27
弗朗西斯科-埃尔森,13:18,3,3,1.0,0,0,0,0,0,0,2,1,3,0,0,0,1,3,6,-16
雅克-沃恩,12:17,1,2,.500,0,0,0,0,0,0,0,3,3,2,0,0,0,0,2,+1
布伦特-巴里,11:45,1,6,.167,1,6,.167,0,0,0,0,2,2,1,0,0,0,0,3,-4
本诺-尤德里,0:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马特-邦纳,未上场,,,,,,,,,,,,,,,,,,,
